Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
P,Francesco Moser,Francesco Moser,not awarded,not awarded,not awarded,not awarded
1,Renault–Elf,Laurent Fignon,not awarded,not awarded,not awarded,Renault–Elf
2,Urs Freuler,Laurent Fignon,Urs Freuler,?,?,Renault–Elf
3,Moreno Argentin,Laurent Fignon,Moreno Argentin,Chioccioli,?,Renault–Elf
4,Stefan Mutter,Laurent Fignon,Urs Freuler,?,?,Renault–Elf
5,Moreno Argentin,Francesco Moser,Moreno Argentin,?,?,Carrera–Inoxpran
6,Francesco Moser,Francesco Moser,Moreno Argentin,?,?,Carrera–Inoxpran
7,Urs Freuler,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
8,Urs Freuler,Francesco Moser,Urs Freuler,Moreno Argentin,?,Carrera–Inoxpran
9,Dag Erik Pedersen,Francesco Moser,Urs Freuler,Moreno Argentin,?,Carrera–Inoxpran
10,Martial Gayant,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
11,Urs Freuler,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
12,Paolo Rosola,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
13,Roberto Visentini,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
14,Sergio Santimaria,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
15,Francesco Moser,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
16,Dag Erik Pedersen,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
17,Jürg Bruggmann,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
18,Bruno Leali,Francesco Moser,Urs Freuler,Flavio Zappi,?,Carrera–Inoxpran
19,Marino Lejarreta,Francesco Moser,Urs Freuler,?,?,Carrera–Inoxpran
20,Laurent Fignon,Laurent Fignon,Urs Freuler,Laurent Fignon,?,Renault–Elf
21,Guido Bontempi,Laurent Fignon,Johan van der Velde,Laurent Fignon,?,Renault–Elf
22,Francesco Moser,Francesco Moser,Urs Freuler,Laurent Fignon,?,Renault–Elf
Final,Final,Francesco Moser,Urs Freuler,Laurent Fignon,Charly Mottet,Renault–Elf
