Stage,Winner,General classification,Points classification,Mountains classification,Team classification
1,Vito Taccone,Vito Taccone,Vito Taccone,not awarded,Bianchi
2,Julio Jiménez,Julio Jiménez,Felice Gimondi,Julio Jiménez,Ford France
3,Severino Andreoli,Julio Jiménez,Felice Gimondi,Julio Jiménez,Ford France
4,Giovanni Knapp,Julio Jiménez,Gianni Motta,Julio Jiménez,Vittadello
5,Vendramino Bariviera,Julio Jiménez,Vito Taccone,Julio Jiménez,Vittadello
6,Raffaele Marcoli,Julio Jiménez,Vito Taccone,Julio Jiménez,Vittadello
7,Rudi Altig,Julio Jiménez,Vito Taccone,Julio Jiménez,Molteni
8,Marino Basso,Julio Jiménez,Vito Taccone,Julio Jiménez,Molteni
9,Vincent Denson,Julio Jiménez,Gianni Motta,Julio Jiménez,Ford France
10,Dino Zandegù,Julio Jiménez,Vito Taccone,Julio Jiménez,Ford France
11,Rudi Altig,Julio Jiménez,Rudi Altig,Julio Jiménez,Molteni
12,Dino Zandegù,Julio Jiménez,Rudi Altig,Julio Jiménez,Molteni
13,Vittorio Adorni,Vittorio Adorni,Rudi Altig,Julio Jiménez,Molteni
14,Franco Bitossi,Vittorio Adorni,Rudi Altig,Julio Jiménez,Molteni
15,Julio Jiménez,Gianni Motta,Gianni Motta,Julio Jiménez,Molteni
16,Franco Bitossi,Gianni Motta,Gianni Motta,Julio Jiménez,Molteni
17,Gianni Motta,Gianni Motta,Gianni Motta,Julio Jiménez,Molteni
18,Michele Dancelli,Gianni Motta,Gianni Motta,Julio Jiménez,Molteni
19,Gianni Motta,Gianni Motta,Gianni Motta,Julio Jiménez,Molteni
20,Felice Gimondi,Gianni Motta,Gianni Motta,Franco Bitossi,Molteni
21,Pietro Scandelli,Gianni Motta,Gianni Motta,Franco Bitossi,Molteni
22,Vendramino Bariviera,Gianni Motta,Gianni Motta,Franco Bitossi,Molteni
Final,Final,Gianni Motta,Gianni Motta,Franco Bitossi,Molteni
