Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
P,Francesco Moser,Francesco Moser,Francesco Moser,not awarded,?,Bianchi-Faema
1,Mario Beccia,Francesco Moser,Knut Knudsen,not awarded,?,Bianchi-Faema
2,Roger De Vlaeminck,Francesco Moser,Francesco Moser,not awarded,?,Bianchi-Faema
3,Francesco Moser,Francesco Moser,Francesco Moser,not awarded,?,Bianchi-Faema
4,Claudio Bortolotto,Francesco Moser,Francesco Moser,Mario Beccia,?,Sanson Gelati-Luxor TV
5,Giuseppe Saronni,Francesco Moser,Francesco Moser,Mario Beccia,?,Sanson Gelati-Luxor TV
6,Bruno Wolfer,Francesco Moser,Giuseppe Saronni,Mario Beccia,?,Bianchi-Faema
7,Alan Van Heerden,Francesco Moser,Giuseppe Saronni,Mario Beccia,?,Bianchi-Faema
8,Giuseppe Saronni,Giuseppe Saronni,Giuseppe Saronni,Mario Beccia,?,Bianchi-Faema
9,Roger De Vlaeminck,Giuseppe Saronni,Giuseppe Saronni,Claudio Bortolotto,?,Bianchi-Faema
10,Knut Knudsen,Giuseppe Saronni,Giuseppe Saronni,Claudio Bortolotto,?,Bianchi-Faema
11,Bernt Johansson,Giuseppe Saronni,Giuseppe Saronni,Roger De Vlaeminck,?,Bianchi-Faema
12,Roger De Vlaeminck,Giuseppe Saronni,Giuseppe Saronni,Roger De Vlaeminck,?,Bianchi-Faema
13,Dino Porrini,Giuseppe Saronni,Giuseppe Saronni,Claudio Bortolotto,?,Bianchi-Faema
14,Bernt Johansson,Giuseppe Saronni,Giuseppe Saronni,Bernt Johansson,?,Bianchi-Faema
15,Giuseppe Martinelli,Giuseppe Saronni,Francesco Moser,Bernt Johansson,?,Bianchi-Faema
16,Roberto Ceruti,Giuseppe Saronni,Giuseppe Saronni,Bernt Johansson,?,Bianchi-Faema
17,Francesco Moser,Giuseppe Saronni,Francesco Moser,Claudio Bortolotto,?,Sanson Gelati-Luxor TV
18,Amilcare Sgalbazzi,Giuseppe Saronni,Francesco Moser,Claudio Bortolotto,Silvano Contini,Sanson Gelati-Luxor TV
19,Giuseppe Saronni,Giuseppe Saronni,Giuseppe Saronni,Claudio Bortolotto,Silvano Contini,Sanson Gelati-Luxor TV
Final,Final,Giuseppe Saronni,Giuseppe Saronni,Claudio Bortolotto,Silvano Contini,Sanson Gelati-Luxor TV
