Stage,Winner,General classification,Points classification,Mountains classification,Intergiro classification,Trofeo Fast Team,Trofeo Super Team
P,Jan Hruška,Jan Hruška,not awarded,not awarded,not awarded,not awarded,not awarded
1,Ivan Quaranta,Mario Cipollini,Ivan Quaranta,Alessandro Petacchi,Mario Cipollini,Française des Jeux,Team Polti
2,Cristian Moreni,Cristian Moreni,Cristian Moreni,Karsten Kroon,Matteo Tosatto,Liquigas-Pata,Team Polti
3,Ján Svorada,Cristian Moreni,Matteo Tosatto,Karsten Kroon,Matteo Tosatto,Liquigas-Pata,Team Polti
4,Mario Cipollini,Cristian Moreni,Mario Cipollini,Karsten Kroon,Matteo Tosatto,Liquigas-Pata,Team Polti
5,Danilo Di Luca,Matteo Tosatto,Matteo Tosatto,Karsten Kroon,Matteo Tosatto,Liquigas-Pata,Fassa Bortolo
6,Dmitri Konyshev,Matteo Tosatto,Matteo Tosatto,Karsten Kroon,Matteo Tosatto,Liquigas-Pata,Fassa Bortolo
7,David McKenzie,Matteo Tosatto,Dmitri Konyshev,Karsten Kroon,Matteo Tosatto,Liquigas-Pata,Fassa Bortolo
8,Axel Merckx,José Enrique Gutiérrez,Dmitri Konyshev,Karsten Kroon,Fabrizio Guidi,Mapei - Quick Step,Team Polti
9,Francesco Casagrande,Francesco Casagrande,Dmitri Konyshev,Karsten Kroon,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
10,Ivan Quaranta,Francesco Casagrande,Dmitri Konyshev,Karsten Kroon,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
11,Víctor Hugo Peña,Francesco Casagrande,Dmitri Konyshev,Karsten Kroon,Fabrizio Guidi,Vini Caldirola–Sidermec,Fassa Bortolo
12,Enrico Cassani,Francesco Casagrande,Dmitri Konyshev,Karsten Kroon,Fabrizio Guidi,Vini Caldirola–Sidermec,Fassa Bortolo
13,José Luis Rubiera,Francesco Casagrande,Dmitri Konyshev,Francesco Casagrande,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
14,Gilberto Simoni,Francesco Casagrande,Dmitri Konyshev,José Jaime González,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
15,Biagio Conte,Francesco Casagrande,Dmitri Konyshev,José Jaime González,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
16,Fabrizio Guidi,Francesco Casagrande,Dmitri Konyshev,José Jaime González,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
17,Álvaro González de Galdeano,Francesco Casagrande,Dmitri Konyshev,José Jaime González,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
18,Stefano Garzelli,Francesco Casagrande,Dmitri Konyshev,Francesco Casagrande,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
19,Paolo Lanfranchi,Francesco Casagrande,Dmitri Konyshev,José Jaime González,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
20,Jan Hruška,Stefano Garzelli,Dmitri Konyshev,Francesco Casagrande,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
21,Mariano Piccoli,Stefano Garzelli,Dmitri Konyshev,Francesco Casagrande,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
Final,Final,Stefano Garzelli,Dmitri Konyshev,Francesco Casagrande,Fabrizio Guidi,Mapei - Quick Step,Fassa Bortolo
