Stage,Winner,General classification,Mountains classification,Team classification
1,Miguel Poblet,Miguel Poblet,not awarded,Ignis
2,Miguel Poblet,Miguel Poblet,Angelo Conterno,Ignis
3,Willy Schroeders,Miguel Poblet,Angelo Conterno,Faema
4,Oreste Magni,Miguel Poblet,Angelo Conterno,Faema
5,Louis Proost,Miguel Poblet,Angelo Conterno,Faema
6,Nino Defilippis,Miguel Poblet,Angelo Conterno,Faema
7,Antonio Suárez,Antonio Suárez,Angelo Conterno & Edouard Delberghe,Faema
8,Piet van Est,Guillaume Van Tongerloo,Angelo Conterno & Edouard Delberghe,Faema
9,Jacques Anquetil,Guillaume Van Tongerloo,Angelo Conterno & Edouard Delberghe,Faema
10,Vito Taccone,Jacques Anquetil,Angelo Conterno & Edouard Delberghe,Faema
11,Pietro Chiodini,Jacques Anquetil,Vito Taccone & Federico Bahamontes,Faema
12,Renato Giusti,Jacques Anquetil,Vito Taccone & Federico Bahamontes,Faema
13,Rik Van Looy,Jacques Anquetil,Vito Taccone & Federico Bahamontes,Faema
14,Silvano Ciampi,Arnaldo Pambianco,Vito Taccone,Faema
15,Rik Van Looy,Arnaldo Pambianco,Vito Taccone,Faema
16,Adriano Zamboni,Arnaldo Pambianco,Vito Taccone,Faema
17,Rik Van Looy,Arnaldo Pambianco,Vito Taccone,Faema
18,Renato Giusti,Arnaldo Pambianco,Vito Taccone,Faema
19,Willy Schroeders,Arnaldo Pambianco,Vito Taccone,Faema
20,Charly Gaul,Arnaldo Pambianco,Vito Taccone,Faema
21,Miguel Poblet,Arnaldo Pambianco,Vito Taccone,Faema
Final,Final,Arnaldo Pambianco,Vito Taccone,Faema
