Stage,Winner,General classification,Points classification,Mountains classification,Team classification
1,Giancarlo Polidori,Giancarlo Polidori,Giancarlo Polidori,not awarded,Molteni
2,Davide Boifava,Davide Boifava,Giancarlo Polidori,not awarded,Molteni
3,Eddy Merckx,Giancarlo Polidori,Giancarlo Polidori,Eddy Merckx,Molteni
4,Eddy Merckx,Giancarlo Polidori,Eddy Merckx,Eddy Merckx,Molteni
5,Albert Van Vlierberghe,Giancarlo Polidori,Eddy Merckx,Eddy Merckx,Molteni
6,Franco Cortinovis,Giancarlo Polidori,Eddy Merckx,Eddy Merckx,Molteni
7,Eddy Merckx,Giancarlo Polidori,Eddy Merckx,Eddy Merckx,Molteni
8,Marino Basso,Giancarlo Polidori,Eddy Merckx,Eddy Merckx,Molteni
9,Michele Dancelli,Eddy Merckx,Eddy Merckx,Eddy Merckx,Molteni
10,Carlo Chiappano,Eddy Merckx,Eddy Merckx,Eddy Merckx & Carlo Chiappano,Molteni
11,Franco Bitossi,Eddy Merckx,Eddy Merckx,Franco Bitossi,Molteni
12,Ugo Colombo,Silvano Schiavon,Eddy Merckx,Michele Dancelli,Molteni
13,Marino Basso,Silvano Schiavon,Eddy Merckx,Michele Dancelli,Molteni
14,Franco Bitossi,Eddy Merckx,Franco Bitossi,Michele Dancelli,Molteni
15,Eddy Merckx,Eddy Merckx,Eddy Merckx,Michele Dancelli,Molteni
16,Roberto Ballini,Eddy Merckx,Eddy Merckx,Michele Dancelli,Molteni
17,Ole Ritter,Felice Gimondi,Franco Bitossi,Michele Dancelli,Molteni
18a,Marino Basso,Felice Gimondi,Franco Bitossi,Michele Dancelli,Molteni
18b,Marino Basso,Felice Gimondi,Franco Bitossi,Michele Dancelli,Molteni
19,Italo Zilioli,Felice Gimondi,Franco Bitossi,Michele Dancelli,Molteni
20,Stage Cancelled,Felice Gimondi,Franco Bitossi,Michele Dancelli,Molteni
21,Claudio Michelotto,Felice Gimondi,Franco Bitossi,Claudio Michellotto,Molteni
22,Vittorio Adorni,Felice Gimondi,Franco Bitossi,Claudio Michellotto,Molteni
23,Attilio Benfatto,Felice Gimondi,Franco Bitossi,Claudio Michellotto,Molteni
Final,Final,Felice Gimondi,Franco Bitossi,Claudio Michellotto,Molteni
