Stage,Winner,General classification,Best foreign rider,Best independent rider,Mountains classification,Last in General classification,Team classification
1,Oreste Conte,Oreste Conte,Désiré Keteleer,Umberto Drei,not awarded,Aldo Tosi & Egidio Feruglio,Bianchi–Ursus
2,Alfredo Martini,Fritz Schär,Fritz Schär,Silvio Pedroni,Fritz Schär,Marcello Paolieri,Taurea
3,Olimpio Bizzi,Fritz Schär,Fritz Schär,Silvio Pedroni,Fritz Schär,Marcello Paolieri,Taurea
4,Antonio Bevilacqua,Fritz Schär,Fritz Schär,Silvio Pedroni,Hugo Koblet,Marcello Paolieri,Taurea
5,Franco Franchi,Fritz Schär,Fritz Schär,Silvio Pedroni,Hugo Koblet,Marcello Paolieri,Taurea
6,Hugo Koblet,Fritz Schär,Fritz Schär,Silvio Pedroni,Hugo Koblet,Marcello Paolieri,Taurea
7,Luciano Maggini,Alfredo Martini,Fritz Schär,Silvio Pedroni,Fausto Coppi,Mario Gestri,Taurea
8,Hugo Koblet,Hugo Koblet,Fritz Schär,Silvio Pedroni,Hugo Koblet,Giuseppe Molinari,Taurea
9,Gino Bartali,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Serse Coppi,Taurea
10,Mario Fazio,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Taurea
11,Adolfo Leoni,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Taurea
12,Antonio Bevilacqua,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Taurea
13,Luciano Maggini,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Fréjus–Superga
14,Fritz Schär,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Fréjus–Superga
15,Giancarlo Astrua,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Fréjus–Superga
16,Fiorenzo Magni,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Fréjus–Superga
17,Annibale Brasola,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Fréjus–Superga
18,Oreste Conte,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Fréjus–Superga
Final,Final,Hugo Koblet,Hugo Koblet,Silvio Pedroni,Hugo Koblet,Mario Gestri,Fréjus–Superga
