Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
1,Jean-Paul van Poppel,Jean-Paul van Poppel,Jean-Paul van Poppel,not awarded,?,Atala
2,Acácio da Silva,Acácio da Silva,Acácio da Silva,Acácio da Silva,Piotr Ugrumov,Chateau d'Ax
3,Ariostea,Silvino Contini,Acácio da Silva,Acácio da Silva,Piotr Ugrumov,Chateau d'Ax
4,Rolf Järmann,Silvino Contini,Acácio da Silva,?,Piotr Ugrumov,Chateau d'Ax
5,Stefano Giuliani,Silvino Contini,Acácio da Silva,?,Piotr Ugrumov,Chateau d'Ax
6,Stefan Joho,Silvino Contini,Acácio da Silva,?,Piotr Ugrumov,Chateau d'Ax
7,Urs Freuler,Silvino Contini,Giovanni Fidanza,?,Piotr Ugrumov,Chateau d'Ax
8,John Carlsen,Erik Breukink,Giovanni Fidanza,?,Piotr Ugrumov,Fagor
9,Bjarne Riis,Acácio da Silva,Acácio da Silva,?,Piotr Ugrumov,Fagor
10,Lech Piasecki,Erik Breukink,Rolf Sörensen,?,Piotr Ugrumov,Alfa Lum
11,Urs Freuler,Erik Breukink,Rolf Sörensen,?,Piotr Ugrumov,Alfa Lum
12,Mario Cipollini,Erik Breukink,Rolf Sörensen,?,Piotr Ugrumov,Alfa Lum
13,Luis Herrera,Erik Breukink,Giovanni Fidanza,?,Piotr Ugrumov,Fagor
14,Flavio Giupponi,Laurent Fignon,Giovanni Fidanza,?,Vladimir Poulnikov,Fagor
15a,Jean-Paul van Poppel,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Piotr Ugrumov,Fagor
15b,Lech Piasecki,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Piotr Ugrumov,Fagor
16,Stage Cancelled,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Piotr Ugrumov,Fagor
17,Phil Anderson,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Piotr Ugrumov,Fagor
18,Luis Herrera,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Vladimir Poulnikov,Fagor
19,Jesper Skibby,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Vladimir Poulnikov,Fagor
20,Laurent Fignon,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Vladimir Poulnikov,Fagor
21,Gianni Bugno,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Vladimir Poulnikov,Fagor
22,Lech Piasecki,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Vladimir Poulnikov,Fagor
Final,Final,Laurent Fignon,Giovanni Fidanza,Luis Herrera,Vladimir Poulnikov,Fagor
