Stage,Winner,General classification,Points classification,Mountains classification,Team classification
1,Franco Bitossi,Franco Bitossi,Franco Bitossi,not awarded,?
2,Eddy Merckx,Franco Bitossi,Franco Bitossi,not awarded,?
3,Franco Bitossi,Franco Bitossi,Franco Bitossi,Italo Zilioli,?
4,Marino Basso,Franco Bitossi,Franco Bitossi,Italo Zilioli,?
5,Patrick Sercu,Franco Bitossi,Franco Bitossi,Italo Zilioli,?
6,Enrico Paolini,Franco Bitossi,Franco Bitossi,Martin Van Den Bossche,?
7,Eddy Merckx,Eddy Merckx,Franco Bitossi,Eddy Merckx,?
8,Walter Godefroot,Eddy Merckx,Franco Bitossi,Eddy Merckx,?
9,Eddy Merckx,Eddy Merckx,Franco Bitossi,Eddy Merckx,?
10,Italo Zilioli,Eddy Merckx,Franco Bitossi,Martin Van Den Bossche,?
11,Michele Dancelli,Eddy Merckx,Franco Bitossi,Martin Van Den Bossche,?
12,Miguel María Lasa,Eddy Merckx,Franco Bitossi,Martin Van Den Bossche,?
13,Michele Dancelli,Eddy Merckx,Franco Bitossi,Martin Van Den Bossche,?
14,Michele Dancelli,Eddy Merckx,Michele Dancelli,Martin Van Den Bossche,?
15,Marino Basso,Eddy Merckx,Michele Dancelli,Martin Van Den Bossche,?
16,Dino Zandegù,Eddy Merckx,Michele Dancelli,Martin Van Den Bossche,?
17,Franco Bitossi,Eddy Merckx,Franco Bitossi,Martin Van Den Bossche,Faemino
18,Michele Dancelli,Eddy Merckx,Michele Dancelli,Italo Zilioli,Faemino
19,Franco Bitossi,Eddy Merckx,Franco Bitossi,Martin Van Den Bossche,Faemino
20,Luciano Armani,Eddy Merckx,Franco Bitossi,Martin Van Den Bossche,Faemino
Final,Final,Eddy Merckx,Franco Bitossi,Martin Van Den Bossche,Faemino
