Stage,Winner,General classification,Points classification,Mountains classification,Intergiro classification,Trofeo Fast Team,Trofeo Super Team
P,Rik Verbrugghe,Rik Verbrugghe,not awarded,not awarded,not awarded,ONCE–Eroski,not awarded
1,Ellis Rastelli,Rik Verbrugghe,Ellis Rastelli,Domenico Gualdi,Unai Osa,Lampre–Daikin,ONCE–Eroski
2,Danilo Hondo,Rik Verbrugghe,Gabriele Colombo,Domenico Gualdi,Pietro Caucchioli,Lampre–Daikin,Cantina Tollo
3,Danilo Hondo,Rik Verbrugghe,Danilo Hondo,Domenico Gualdi,Mariano Piccoli,Lampre–Daikin,Lampre–Daikin
4,Danilo Di Luca,Dario Frigo,Danilo Hondo,Danilo Di Luca,Ivan Quaranta,ONCE–Eroski,Lampre–Daikin
5,Ivan Quaranta,Dario Frigo,Danilo Hondo,Danilo Di Luca,Massimo Strazzer,ONCE–Eroski,Lampre–Daikin
6,Mario Cipollini,Dario Frigo,Danilo Hondo,Danilo Di Luca,Massimo Strazzer,ONCE–Eroski,Lampre–Daikin
7,Stefano Zanini,Dario Frigo,Danilo Hondo,Danilo Di Luca,Massimo Strazzer,ONCE–Eroski,Lampre–Daikin
8,Pietro Caucchioli,Dario Frigo,Danilo Hondo,Fredy González,Massimo Strazzer,ONCE–Eroski,Liquigas
9,Mario Cipollini,Dario Frigo,Danilo Hondo,Fredy González,Massimo Strazzer,ONCE–Eroski,Lampre–Daikin
10,Denis Zanette,Dario Frigo,Danilo Hondo,Fredy González,Massimo Strazzer,ONCE–Eroski,Tacconi Sport–Vini Caldirola
11,Pablo Lastras,Dario Frigo,Danilo Hondo,Fredy González,Massimo Strazzer,iBanesto.com,Tacconi Sport–Vini Caldirola
12,Matteo Tosatto,Dario Frigo,Massimo Strazzer,Fredy González,Massimo Strazzer,iBanesto.com,Tacconi Sport–Vini Caldirola
13,Julio Alberto Pérez,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,iBanesto.com,Fassa Bortolo
14,Carlos Contreras,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,Selle Italia–Pacific,Fassa Bortolo
15,Dario Frigo,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,Alessio,Fassa Bortolo
16,Ivan Quaranta,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,Alessio,Fassa Bortolo
17,Pietro Caucchioli,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,Alessio,Fassa Bortolo
18,Stage Cancelled,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,Alessio,Fassa Bortolo
19,Mario Cipollini,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,Alessio,Fassa Bortolo
20,Gilberto Simoni,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,Alessio,Fassa Bortolo
21,Mario Cipollini,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,Alessio,Fassa Bortolo
Final,Final,Gilberto Simoni,Massimo Strazzer,Fredy González,Massimo Strazzer,Alessio,Alessio
