Stage,Winner,General classification,Points classification,Mountains classification,Team classification
1,Giorgio Zancanaro,Giorgio Zancanaro,Giorgio Zancanaro,not awarded,?
2,Antonio Gómez del Moral,Antonio Gómez del Moral,Giorgio Zancanaro,Silvano Schiavon,?
3,Michele Dancelli,Antonio Gómez del Moral,Michele Dancelli,Aurelio González Puente,?
4,Dino Zandegù,Antonio Gómez del Moral,Dino Zandegù,Aurelio González Puente,?
5,Willy Planckaert,Michele Dancelli,Michele Dancelli,Aurelio González Puente,?
6,Rudi Altig,Michele Dancelli,Michele Dancelli,Aurelio González Puente,?
7,Franco Bitossi,Michele Dancelli,Michele Dancelli,Aurelio González Puente,?
8,Jean Stablinski,José Pérez Frances,Michele Dancelli,Aurelio González Puente,?
9,Albert Van Vlierberghe,José Pérez Frances,Dino Zandegù,Aurelio González Puente,?
10,Willy Planckaert,José Pérez Frances,Dino Zandegù,Aurelio González Puente,?
11,Rudi Altig,José Pérez Frances,Dino Zandegù,Aurelio González Puente,?
12,Eddy Merckx,José Pérez Frances,Dino Zandegù,Aurelio González Puente,?
13,Georges Vandenberghe,José Pérez Frances,Dino Zandegù,Aurelio González Puente,?
14,Eddy Merckx,José Pérez Frances,Dino Zandegù,Aurelio González Puente,?
15,Michele Dancelli,José Pérez Frances,Dino Zandegù,Aurelio González Puente,?
16,Ole Ritter,Jacques Anquetil,Dino Zandegù,Aurelio González Puente,?
17,Francisco Gabica,Silvano Schiavon,Dino Zandegù,Aurelio González Puente,?
18,Dino Zandegù,Silvano Schiavon,Dino Zandegù,Aurelio González Puente,?
19,Stage Cancelled,Silvano Schiavon,Dino Zandegù,Aurelio González Puente,?
20,Vittorio Adorni,Jacques Anquetil,Dino Zandegù,Aurelio González Puente,?
21,Marcello Mugnaini,Felice Gimondi,Dino Zandegù,Aurelio González Puente,?
22a,Aurelio González,Felice Gimondi,Dino Zandegù,Aurelio González Puente,?
22b,Willy Planckaert,Felice Gimondi,Dino Zandegù,Aurelio González Puente,?
Final,Final,Felice Gimondi,Dino Zandegù,Aurelio González Puente,KAS
