Stage,Winner,General classification,Mountains classification,Team classification
1,Rik Van Steenbergen,Rik Van Steenbergen,not awarded,Francia
2,Charly Gaul,Louison Bobet,Charly Gaul,Francia
3,Miguel Poblet,Louison Bobet,Charly Gaul,Francia
4,André Vlayen,Louison Bobet,Charly Gaul,Bottecchia
5,Alessandro Fantini,Louison Bobet,Charly Gaul,Bottecchia
6,Wout Wagtmans,Louison Bobet,Charly Gaul,Bottecchia
7,Antonin Rolland,Louison Bobet,Raphaël Géminiani,Bottecchia
8,Vito Favero,Nino Defilippis,Raphaël Géminiani,Bottecchia
9,Miguel Poblet,Nino Defilippis,Raphaël Géminiani,Bottecchia
10,Miguel Poblet,Nino Defilippis,Raphaël Géminiani,Bottecchia
11,Rik Van Steenbergen,Nino Defilippis,Raphaël Géminiani,Legnano
12,Bruno Monti,Louison Bobet,Raphaël Géminiani,Legnano
13,Ercole Baldini,Louison Bobet,Raphaël Géminiani,Legnano
14,Mario Baroni,Antonin Rolland,Raphaël Géminiani,Legnano
15,Louison Bobet,Louison Bobet,Raphaël Géminiani,Legnano
16,Alfredo Sabbadin,Charly Gaul,Raphaël Géminiani,Legnano
17a,Alessandro Fantini,Charly Gaul,Raphaël Géminiani,Legnano
17b,Rik Van Steenbergen,Charly Gaul,Raphaël Géminiani,Legnano
18,Miguel Poblet,Gastone Nencini,Raphaël Géminiani,Legnano
19,Charly Gaul,Gastone Nencini,Raphaël Géminiani,Legnano
20,Rik Van Steenbergen,Gastone Nencini,Raphaël Géminiani,Legnano
21,Rik Van Steenbergen,Gastone Nencini,Raphaël Géminiani,Legnano
Final,Final,Gastone Nencini,Raphaël Géminiani,Legnano
