Stage,Winner,General classification,Points classification,Mountains classification,Intergiro classification,Trofeo Fast Team,Trofeo Super Team
1,Alessandro Petacchi,Alessandro Petacchi,Alessandro Petacchi,not awarded,Andris Naudužs,De Nardi-Colpack,Ceramiche Panaria–Fiordo
2,Fabio Baldato,Alessandro Petacchi,Alessandro Petacchi,Fredy González,Mario Cipollini,Alessio,Alessio
3,Stefano Garzelli,Alessandro Petacchi,Alessandro Petacchi,Fredy González,Andris Naudužs,Alessio,Alessio
4,Robbie McEwen,Alessandro Petacchi,Alessandro Petacchi,Fredy González,Andris Naudužs,Alessio,Alessio
5,Alessandro Petacchi,Alessandro Petacchi,Alessandro Petacchi,Fredy González,Moreno di Biase,Alessio,Alessio
6,Alessandro Petacchi,Alessandro Petacchi,Alessandro Petacchi,Fredy González,Moreno di Biase,Alessio,Fassa Bortolo
7,Stefano Garzelli,Stefano Garzelli,Alessandro Petacchi,Fredy González,Moreno di Biase,Saeco,Alessio
8,Mario Cipollini,Stefano Garzelli,Alessandro Petacchi,Fredy González,Moreno di Biase,Saeco,Alessio
9,Mario Cipollini,Stefano Garzelli,Alessandro Petacchi,Fredy González,Moreno di Biase,Saeco,Domina Vacanze-Elitron
10,Kurt Asle Arvesen,Gilberto Simoni,Alessandro Petacchi,Fredy González,Moreno di Biase,Saeco,Domina Vacanze-Elitron
11,Robbie McEwen,Gilberto Simoni,Alessandro Petacchi,Fredy González,Moreno di Biase,Saeco,Fassa Bortolo
12,Gilberto Simoni,Gilberto Simoni,Alessandro Petacchi,Fredy González,Moreno di Biase,Lampre,Fassa Bortolo
13,Alessandro Petacchi,Gilberto Simoni,Alessandro Petacchi,Fredy González,Moreno di Biase,Lampre,Fassa Bortolo
14,Gilberto Simoni,Gilberto Simoni,Alessandro Petacchi,Fredy González,Moreno di Biase,Lampre,Fassa Bortolo
15,Aitor González,Gilberto Simoni,Alessandro Petacchi,Fredy González,Magnus Bäckstedt,Lampre,Fassa Bortolo
16,Alessandro Petacchi,Gilberto Simoni,Alessandro Petacchi,Fredy González,Magnus Bäckstedt,Lampre,Fassa Bortolo
17,Alessandro Petacchi,Gilberto Simoni,Alessandro Petacchi,Fredy González,Magnus Bäckstedt,Lampre,Fassa Bortolo
18,Dario Frigo,Gilberto Simoni,Stefano Garzelli,Fredy González,Magnus Bäckstedt,Saeco,Fassa Bortolo
19,Gilberto Simoni,Gilberto Simoni,Gilberto Simoni,Fredy González,Magnus Bäckstedt,Saeco,Fassa Bortolo
20,Giovanni Lombardi,Gilberto Simoni,Gilberto Simoni,Fredy González,Magnus Bäckstedt,Saeco,Fassa Bortolo
21,Serhiy Honchar,Gilberto Simoni,Gilberto Simoni,Fredy González,Magnus Bäckstedt,Lampre,Fassa Bortolo
Final,Final,Gilberto Simoni,Gilberto Simoni,Fredy González,Magnus Bäckstedt,Lampre,Fassa Bortolo
