Stage,Winner,General classification,Mountains classification,Team classification
1,Vittorio Adorni,Vittorio Adorni,not awarded,?
2,Pierino Baffi,Vittorio Adorni,not awarded,?
3,Jaime Alomar,Vittorio Adorni,not awarded,?
4,Guido Carlesi,Diego Ronchini,Vito Taccone,?
5,Vendramino Bariviera,Diego Ronchini,Vito Taccone,?
6,Vendramino Bariviera,Diego Ronchini,Vito Taccone,?
7,Nino Defilippis,Diego Ronchini,Vito Taccone,?
8,Adriano Durante,Diego Ronchini,Vito Taccone,?
9,Giorgio Zancanaro,Diego Ronchini,Giorgio Zancanaro,?
10,Vito Taccone,Diego Ronchini,Giorgio Zancanaro,?
11,Vito Taccone,Diego Ronchini,Giorgio Zancanaro,?
12,Vito Taccone,Franco Balmamion,Vito Taccone,?
13,Vito Taccone,Franco Balmamion,Vito Taccone,?
14,Marino Vigna,Franco Balmamion,Vito Taccone,?
15,Franco Magnani,Franco Balmamion,Vito Taccone,?
16,Vittorio Adorni,Diego Ronchini,Vito Taccone,?
17,Vendramino Bariviera,Diego Ronchini,Vito Taccone,?
18,Arnaldo Pambianco,Vittorio Adorni,Vito Taccone,?
19,Vito Taccone,Franco Balmamion,Vito Taccone,?
20,Guido Carlesi,Franco Balmamion,Vito Taccone,?
21,Antonio Bailetti,Franco Balmamion,Vito Taccone,?
Final,Final,Franco Balmamion,Vito Taccone,Carpano
