Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
P,Francesco Moser,Francesco Moser,Francesco Moser,not awarded,?,not awarded
1,Giuseppe Saronni,Francesco Moser,Francesco Moser,not awarded,?,Hoonved–Bottecchia
2,Giuseppe Saronni,Francesco Moser,Giuseppe Saronni,Claudio Bortolotto,?,Hoonved–Bottecchia
3,Giuseppe Saronni,Francesco Moser,Giuseppe Saronni,Claudio Bortolotto,?,Hoonved–Bottecchia
4,Dante Morandi,Francesco Moser,Giuseppe Saronni,Claudio Bortolotto,?,Hoonved–Bottecchia
5,Jørgen Marcussen,Bernard Hinault,Giuseppe Saronni,Claudio Bortolotto,?,Bianchi–Piaggio
6,Carmelo Barone,Bernard Hinault,Giuseppe Saronni,Claudio Bortolotto,?,Bianchi–Piaggio
7,Silvano Contini,Roberto Visentini,Giuseppe Saronni,Claudio Bortolotto,Faustino Rupérez,?
8,Juan Fernández Martín,Roberto Visentini,Giuseppe Saronni,Claudio Bortolotto,Faustino Rupérez,?
9,Giovanni Mantovani,Roberto Visentini,Giuseppe Saronni,Claudio Bortolotto,Faustino Rupérez,?
10,Giovanni Mantovani,Roberto Visentini,Giovanni Mantovani,Claudio Bortolotto,Faustino Rupérez,Bianchi–Piaggio
11,Gianbattista Baronchelli,Roberto Visentini,Giovanni Mantovani,Claudio Bortolotto,Faustino Rupérez,Bianchi–Piaggio
12,Yvon Bertin,Roberto Visentini,Giovanni Mantovani,Claudio Bortolotto,Faustino Rupérez,Bianchi–Piaggio
13,Giuseppe Saronni,Roberto Visentini,Giovanni Mantovani,Claudio Bortolotto,Faustino Rupérez,Bianchi–Piaggio
14,Bernard Hinault,Wladimiro Panizza,Giuseppe Saronni,Claudio Bortolotto,Faustino Rupérez,Bianchi–Piaggio
15,Tommy Prim,Wladimiro Panizza,Giuseppe Saronni,Claudio Bortolotto,Faustino Rupérez,Bianchi–Piaggio
16,Giuseppe Martinelli,Wladimiro Panizza,Giuseppe Saronni,Claudio Bortolotto,Faustino Rupérez,Bianchi–Piaggio
17,Giuseppe Saronni,Wladimiro Panizza,Giuseppe Saronni,Claudio Bortolotto,Faustino Rupérez,Bianchi–Piaggio
18,Giovanni Battaglin,Wladimiro Panizza,Giuseppe Saronni,Claudio Bortolotto,Tommy Prim,Gis Gelati
19,Giuseppe Saronni,Wladimiro Panizza,Giuseppe Saronni,Claudio Bortolotto,Tommy Prim,Gis Gelati
20,Jean-René Bernaudeau,Bernard Hinault,Giuseppe Saronni,Claudio Bortolotto,Tommy Prim,Bianchi–Piaggio
21,Giuseppe Saronni,Bernard Hinault,Giuseppe Saronni,Claudio Bortolotto,Tommy Prim,Bianchi–Piaggio
22,Pierino Gavazzi,Bernard Hinault,Giuseppe Saronni,Claudio Bortolotto,Tommy Prim,Bianchi–Piaggio
Final,Final,Bernard Hinault,Giuseppe Saronni,Claudio Bortolotto,Tommy Prim,Bianchi–Piaggio
