Stage,Winner,General classification,Best foreign rider,Best independent rider,Mountains classification,Team classification
1,Wim Van Est,Wim Van Est,Wim Van Est,Alfo Ferrari,not awarded,Locomotief
2,Pasquale Fornara,Guido De Santi,Hugo Koblet,Elio Brasola,Pasquale Fornara,Levriere
3,Albino Crespi,Guido De Santi,Hugo Koblet,Elio Brasola,Pasquale Fornara,Levriere
4,Fausto Coppi,Pasquale Fornara,Louison Bobet,Elio Brasola,Pasquale Fornara,Bianchi & Francia
5,Ettore Milano,Pasquale Fornara,Louison Bobet,Elio Brasola,Pasquale Fornara,Bianchi & Francia
6,Giuseppe Minardi,Guido De Santi,Hugo Koblet,Elio Brasola,Pasquale Fornara,Bianchi & Francia
7,Giovanni Corrieri,Giovanni Corrieri,Hugo Koblet,Arrigo Padovan,Pasquale Fornara,Bianchi & Francia
8,Hugo Koblet,Hugo Koblet,Hugo Koblet,Elio Brasola,Pasquale Fornara,Bartali
9,Rik Van Steenbergen,Hugo Koblet,Hugo Koblet,Elio Brasola,Pasquale Fornara,Bartali
10,Fiorenzo Magni,Hugo Koblet,Hugo Koblet,Elio Brasola,Pasquale Fornara,Bianchi
11,Bianchi,Hugo Koblet,Hugo Koblet,Elio Brasola,Pasquale Fornara,Bartali
12,Giorgio Albani,Hugo Koblet,Hugo Koblet,Elio Brasola,Pasquale Fornara,Bartali
13,Oreste Conte,Hugo Koblet,Hugo Koblet,Elio Brasola,Pasquale Fornara,Bartali
14,Pietro Giudici,Hugo Koblet,Hugo Koblet,Angelo Conterno,Pasquale Fornara,Bartali
15,Nino Assirelli,Hugo Koblet,Hugo Koblet,Angelo Conterno,Pasquale Fornara,Bottecchia
16,Fiorenzo Magni,Hugo Koblet,Hugo Koblet,Angelo Conterno,Pasquale Fornara,Ganna
17,Bruno Monti,Hugo Koblet,Hugo Koblet,Angelo Conterno,Pasquale Fornara,Ganna
18,Bruno Monti,Hugo Koblet,Hugo Koblet,Angelo Conterno,Pasquale Fornara,Ganna
19,Fausto Coppi,Hugo Koblet,Hugo Koblet,Angelo Conterno,Pasquale Fornara,Ganna
20,Fausto Coppi,Fausto Coppi,Hugo Koblet,Angelo Conterno,Pasquale Fornara,Ganna
21,Fiorenzo Magni,Fausto Coppi,Hugo Koblet,Angelo Conterno,Pasquale Fornara,Ganna
Final,Final,Fausto Coppi,Hugo Koblet,Angelo Conterno,Pasquale Fornara,Ganna
