Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,General Super Team,Intermediate sprint classification,Combativity classification,Breakaway classification,Fair play classification
1,Mathieu van der Poel,Mathieu van der Poel,Mathieu van der Poel,Mathieu van der Poel,Biniam Girmay,Ineos Grenadiers,Filippo Tagliani,Lennard Kämna,Mattia Bais,Alpecin–Fenix
2,Simon Yates,Mathieu van der Poel,Mathieu van der Poel,Mathieu van der Poel,Matteo Sobrero,Team Jumbo–Visma,Mattia Bais,Rick Zabel,Mattia Bais,Alpecin–Fenix
3,Mark Cavendish,Mathieu van der Poel,Mathieu van der Poel,Rick Zabel,Matteo Sobrero,Team Jumbo–Visma,Filippo Tagliani,Mattia Bais,Mattia Bais,Alpecin–Fenix
4,Lennard Kämna,Juan Pedro López,Mathieu van der Poel,Lennard Kämna,Juan Pedro López,Bora–Hansgrohe,Filippo Tagliani,Stefano Oldani,Mattia Bais,Trek–Segafredo
5,Arnaud Démare,Juan Pedro López,Arnaud Démare,Lennard Kämna,Juan Pedro López,Bora–Hansgrohe,Filippo Tagliani,Mattia Bais,Mattia Bais,Trek–Segafredo
6,Arnaud Démare,Juan Pedro López,Arnaud Démare,Lennard Kämna,Juan Pedro López,Bora–Hansgrohe,Filippo Tagliani,Diego Rosa,Mattia Bais,Trek–Segafredo
7,Koen Bouwman,Juan Pedro López,Arnaud Démare,Koen Bouwman,Juan Pedro López,Trek–Segafredo,Filippo Tagliani,Tom Dumoulin,Mattia Bais,Trek–Segafredo
8,Thomas De Gendt,Juan Pedro López,Arnaud Démare,Koen Bouwman,Juan Pedro López,Intermarché–Wanty–Gobert Matériaux,Filippo Tagliani,Thomas De Gendt,Mattia Bais,Bora–Hansgrohe
9,Jai Hindley,Juan Pedro López,Arnaud Démare,Diego Rosa,Juan Pedro López,Bora–Hansgrohe,Filippo Tagliani,João Almeida,Mattia Bais,Team DSM
10,Biniam Girmay,Juan Pedro López,Arnaud Démare,Diego Rosa,Juan Pedro López,Bora–Hansgrohe,Filippo Tagliani,Alessandro De Marchi,Mattia Bais,Team DSM
11,Alberto Dainese,Juan Pedro López,Arnaud Démare,Diego Rosa,Juan Pedro López,Bora–Hansgrohe,Filippo Tagliani,Dries De Bondt,Mattia Bais,Team DSM
12,Stefano Oldani,Juan Pedro López,Arnaud Démare,Diego Rosa,Juan Pedro López,Intermarché–Wanty–Gobert Matériaux,Filippo Tagliani,Lorenzo Rota,Mattia Bais,Team DSM
13,Arnaud Démare,Juan Pedro López,Arnaud Démare,Diego Rosa,Juan Pedro López,Intermarché–Wanty–Gobert Matériaux,Filippo Tagliani,Pascal Eenkhoorn,Mattia Bais,Bora–Hansgrohe
14,Simon Yates,Richard Carapaz,Arnaud Démare,Diego Rosa,João Almeida,Bora–Hansgrohe,Filippo Tagliani,Richard Carapaz,Mattia Bais,Team Bahrain Victorious
15,Giulio Ciccone,Richard Carapaz,Arnaud Démare,Koen Bouwman,João Almeida,Bora–Hansgrohe,Filippo Tagliani,Giulio Ciccone,Mattia Bais,Team Bahrain Victorious
16,Jan Hirt,Richard Carapaz,Arnaud Démare,Koen Bouwman,João Almeida,Bora–Hansgrohe,Filippo Tagliani,Thymen Arensman,Mattia Bais,Team Bahrain Victorious
17,Santiago Buitrago,Richard Carapaz,Arnaud Démare,Koen Bouwman,João Almeida,Team Bahrain Victorious,Filippo Tagliani,Mathieu van der Poel,Mattia Bais,Team Bahrain Victorious
18,Dries De Bondt,Richard Carapaz,Arnaud Démare,Koen Bouwman,Juan Pedro López,Team Bahrain Victorious,Filippo Tagliani,Edoardo Affini,Mattia Bais,Team Bahrain Victorious
19,Koen Bouwman,Richard Carapaz,Arnaud Démare,Koen Bouwman,Juan Pedro López,Team Bahrain Victorious,Filippo Tagliani,Andrea Vendrame,Mattia Bais,Team Bahrain Victorious
20,Alessandro Covi,Jai Hindley,Arnaud Démare,Koen Bouwman,Juan Pedro López,Team Bahrain Victorious,Filippo Tagliani,Alessandro Covi,Mattia Bais,Team Bahrain Victorious
21,Matteo Sobrero,Jai Hindley,Arnaud Démare,Koen Bouwman,Juan Pedro López,Team Bahrain Victorious,Filippo Tagliani,Mathieu van der Poel,Mattia Bais,Team Bahrain Victorious
Final,Final,Jai Hindley,Arnaud Démare,Koen Bouwman,Juan Pedro López,Team Bahrain Victorious,Filippo Tagliani,Mathieu van der Poel,Mattia Bais,Team Bahrain Victorious
