Stage,Winner,General classification,Mountains classification,Team classification
1,Bianchi,Fausto Coppi,not awarded,Bianchi
2,Giuseppe Minardi,Giuseppe Minardi,Giuseppe Minardi,Legnano
3,Nino Defilippis,Giuseppe Minardi,Giuseppe Minardi,Guerra
4,Angelo Conterno,Giuseppe Minardi,Giuseppe Minardi,Girardengo
5,Rik Van Steenbergen,Gerrit Voorting,Giuseppe Minardi,Girardengo
6,Carlo Clerici,Carlo Clerici,Giuseppe Minardi,Girardengo
7,Giorgio Albani,Carlo Clerici,Giuseppe Minardi,Girardengo
8,Giovanni Pettinati,Carlo Clerici,Giuseppe Minardi,Girardengo
9,Giovanni Corrieri,Carlo Clerici,Giuseppe Minardi,Girardengo
10,Pietro Giudici,Carlo Clerici,Giuseppe Minardi & Primo Volpi,Girardengo
11,Mauro Gianneschi,Carlo Clerici,"Mauro Gianneschi, Giuseppe Minardi & Primo Volpi",Girardengo
12,Hilaire Couvreur,Carlo Clerici,"Mauro Gianneschi, Giuseppe Minardi & Primo Volpi",Girardengo
13,Wout Wagtmans,Carlo Clerici,"Mauro Gianneschi, Giuseppe Minardi & Primo Volpi",Girardengo
14,Annibale Brasola,Carlo Clerici,"Mauro Gianneschi, Giuseppe Minardi & Primo Volpi",Girardengo
15,Hugo Koblet,Carlo Clerici,"Mauro Gianneschi, Giuseppe Minardi & Primo Volpi",Girardengo
16,Rik Van Steenbergen,Carlo Clerici,"Mauro Gianneschi, Giuseppe Minardi & Primo Volpi",Girardengo
17,Rik Van Steenbergen,Carlo Clerici,"Mauro Gianneschi, Giuseppe Minardi & Primo Volpi",Girardengo
18,Adolfo Grosso,Carlo Clerici,"Mauro Gianneschi, Giuseppe Minardi & Primo Volpi",Girardengo
19,Wout Wagtmans,Carlo Clerici,"Mauro Gianneschi, Giuseppe Minardi & Primo Volpi",Girardengo
20,Fausto Coppi,Carlo Clerici,Fausto Coppi,Girardengo
21,Hugo Koblet,Carlo Clerici,Fausto Coppi,Girardengo
22,Rik Van Steenbergen,Carlo Clerici,Fausto Coppi,Girardengo
Final,Final,Carlo Clerici,Fausto Coppi,Girardengo
