Stage,Winner,General classification,Points classification,Mountains classification,Team classification
1,Marino Basso,Marino Basso,Marino Basso,not awarded,?
2,Gianni Motta,Marino Basso,Marino Basso,Gianni Motta,?
3,Ugo Colombo,Ugo Colombo,Franco Bitossi,Gianni Motta,?
4a,José Manuel Fuente,José Manuel Fuente,Gianni Motta,Gianni Motta,?
4b,Wilmo Francioni,José Manuel Fuente,Gianni Motta,Gianni Motta,?
5,Fabrizio Fabbri,José Manuel Fuente,Franco Bitossi & Gianni Motta,Gianni Motta,?
6,Roger De Vlaeminck,José Manuel Fuente,Gianni Motta,Gianni Motta,?
7,Gösta Pettersson,Eddy Merckx,Franco Bitossi,Eddy Merckx & José Manuel Fuente,?
8,Attilio Benfatto,Eddy Merckx,Franco Bitossi,Eddy Merckx & José Manuel Fuente,?
9,Albert Van Vlierberghe,Eddy Merckx,Franco Bitossi,Eddy Merckx & José Manuel Fuente,?
10,Italo Zilioli,Eddy Merckx,Franco Bitossi,Eddy Merckx & José Manuel Fuente,?
11,Miguel María Lasa,Eddy Merckx,Franco Bitossi,Eddy Merckx & José Manuel Fuente,Ferretti
12a,Eddy Merckx,Eddy Merckx,Franco Bitossi,Eddy Merckx & José Manuel Fuente,?
12b,Roger Swerts,Eddy Merckx,Eddy Merckx,Eddy Merckx & José Manuel Fuente,?
13,Wilmo Francioni,Eddy Merckx,Roger De Vlaeminck,Eddy Merckx & José Manuel Fuente,?
14,Eddy Merckx,Eddy Merckx,Eddy Merckx,Eddy Merckx,Molteni
15,Roger De Vlaeminck,Eddy Merckx,Roger De Vlaeminck,Eddy Merckx,Molteni
16,Eddy Merckx,Eddy Merckx,Eddy Merckx,José Manuel Fuente,?
17,José Manuel Fuente,Eddy Merckx,Eddy Merckx,José Manuel Fuente,?
18,Roger De Vlaeminck,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente,?
19a,Roger De Vlaeminck,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente,Molteni
19b,Eddy Merckx,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente,Molteni
20,Enrico Paolini,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente,Molteni
Final,Final,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente,Molteni
