Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Intergiro classification,Team classification
1,Thierry Marie,Thierry Marie,Thierry Marie,not awarded,Julio César Ortegón,Miguel Induráin,Castorama
2,Endrio Leoni,Thierry Marie,Mario Cipollini,Germano Pierdomenico,Julio César Ortegón,Stefano Zanini,Castorama
3,Maximilian Sciandri,Miguel Induráin,Maximilian Sciandri,Germano Pierdomenico,Yvon Ledanois,Adriano Baffi,Banesto
4,Miguel Induráin,Miguel Induráin,Miguel Induráin,Miguel Induráin,Armand de Las Cuevas,Miguel Induráin,Banesto
5,Mario Cipollini,Miguel Induráin,Miguel Induráin,Miguel Induráin,Armand de Las Cuevas,Miguel Induráin,Banesto
6,Franco Vona,Miguel Induráin,Miguel Induráin,Roberto Conti,Armand de Las Cuevas,Miguel Induráin,Ariostea
7,Guido Bontempi,Miguel Induráin,Miguel Induráin,Roberto Conti,Armand de Las Cuevas,Miguel Induráin,Ariostea
8,Mario Cipollini,Miguel Induráin,Mario Cipollini,Roberto Conti,Armand de Las Cuevas,Miguel Induráin,Ariostea
9,Guido Bontempi,Miguel Induráin,Mario Cipollini,Roberto Conti,Armand de Las Cuevas,Miguel Induráin,Ariostea
10,Luis Herrera,Miguel Induráin,Mario Cipollini,Roberto Conti,Leonardo Sierra,Miguel Induráin,Gatorade
11,Roberto Pagnin,Miguel Induráin,Mario Cipollini,Roberto Conti,Leonardo Sierra,Miguel Induráin,Gatorade
12,Endrio Leoni,Miguel Induráin,Mario Cipollini,Roberto Conti,Leonardo Sierra,Miguel Induráin,GB–MG Maglificio
13,Franco Vona,Miguel Induráin,Mario Cipollini,Roberto Conti,Leonardo Sierra,Miguel Induráin,GB–MG Maglificio
14,Giorgio Furlan,Miguel Induráin,Mario Cipollini,Roberto Conti,Leonardo Sierra,Miguel Induráin,GB–MG Maglificio
15,François Simon,Miguel Induráin,Mario Cipollini,Roberto Conti,Leonardo Sierra,Miguel Induráin,Ariostea
16,Marco Saligari,Miguel Induráin,Mario Cipollini,Claudio Chiappucci,Leonardo Sierra,Miguel Induráin,Ariostea
17,Mario Cipollini,Miguel Induráin,Mario Cipollini,Claudio Chiappucci,Leonardo Sierra,Miguel Induráin,Ariostea
18,Marco Giovannetti,Miguel Induráin,Mario Cipollini,Claudio Chiappucci,Pavel Tonkov,Miguel Induráin,Ariostea
19,Udo Bölts,Miguel Induráin,Mario Cipollini,Claudio Chiappucci,Pavel Tonkov,Miguel Induráin,GB–MG Maglificio
20,Franco Chioccioli,Miguel Induráin,Mario Cipollini,Claudio Chiappucci,Pavel Tonkov,Miguel Induráin,GB–MG Maglificio
21,Mario Cipollini,Miguel Induráin,Mario Cipollini,Claudio Chiappucci,Pavel Tonkov,Miguel Induráin,GB–MG Maglificio
22,Miguel Induráin,Miguel Induráin,Mario Cipollini,Claudio Chiappucci,Pavel Tonkov,Miguel Induráin,GB–MG Maglificio
Final,Final,Miguel Induráin,Mario Cipollini,Claudio Chiappucci,Pavel Tonkov,Miguel Induráin,GB–MG Maglificio
