Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Trofeo Fast Team,Trofeo Super Team
1,Liquigas,Enrico Gasparotto,not awarded,not awarded,Enrico Gasparotto,not awarded,Liquigas
2,Robbie McEwen,Danilo Di Luca,Robbie McEwen,Pavel Brutt,Enrico Gasparotto,Liquigas,Astana
3,Alessandro Petacchi,Enrico Gasparotto,Alessandro Petacchi,Pavel Brutt,Enrico Gasparotto,Liquigas,Caisse d'Epargne
4,Danilo Di Luca,Danilo Di Luca,Robbie McEwen,Danilo Di Luca,Vincenzo Nibali,Liquigas,Liquigas
5,Robert Förster,Danilo Di Luca,Alessandro Petacchi,Danilo Di Luca,Vincenzo Nibali,Liquigas,Lampre–Fondital
6,Luis Felipe Laverde,Marco Pinotti,Alessandro Petacchi,Luis Felipe Laverde,Hubert Schwab,Ceramica Panaria–Navigare,Ceramica Panaria–Navigare
7,Alessandro Petacchi,Marco Pinotti,Alessandro Petacchi,Luis Felipe Laverde,Hubert Schwab,Ceramica Panaria–Navigare,Ceramica Panaria–Navigare
8,Kurt Asle Arvesen,Marco Pinotti,Alessandro Petacchi,Luis Felipe Laverde,Alexandr Arekeev,Lampre–Fondital,Ceramica Panaria–Navigare
9,Danilo Napolitano,Marco Pinotti,Alessandro Petacchi,Luis Felipe Laverde,Alexandr Arekeev,Lampre–Fondital,Ceramica Panaria–Navigare
10,Leonardo Piepoli,Andrea Noè,Alessandro Petacchi,Danilo Di Luca,Andy Schleck,Lampre–Fondital,Lampre–Fondital
11,Alessandro Petacchi,Andrea Noè,Alessandro Petacchi,Danilo Di Luca,Andy Schleck,Lampre–Fondital,Lampre–Fondital
12,Danilo Di Luca,Danilo Di Luca,Alessandro Petacchi,Danilo Di Luca,Andy Schleck,Lampre–Fondital,Lampre–Fondital
13,Marzio Bruseghin,Danilo Di Luca,Alessandro Petacchi,Danilo Di Luca,Andy Schleck,Lampre–Fondital,Lampre–Fondital
14,Stefano Garzelli,Danilo Di Luca,Alessandro Petacchi,Danilo Di Luca,Andy Schleck,Lampre–Fondital,Lampre–Fondital
15,Riccardo Riccò,Danilo Di Luca,Alessandro Petacchi,Leonardo Piepoli,Andy Schleck,Saunier Duval–Prodir,Lampre–Fondital
16,Stefano Garzelli,Danilo Di Luca,Alessandro Petacchi,Leonardo Piepoli,Andy Schleck,Ceramica Panaria–Navigare,Lampre–Fondital
17,Gilberto Simoni,Danilo Di Luca,Alessandro Petacchi,Leonardo Piepoli,Andy Schleck,Saunier Duval–Prodir,Lampre–Fondital
18,Alessandro Petacchi,Danilo Di Luca,Alessandro Petacchi,Leonardo Piepoli,Andy Schleck,Saunier Duval–Prodir,Lampre–Fondital
19,Iban Mayo,Danilo Di Luca,Alessandro Petacchi,Leonardo Piepoli,Andy Schleck,Saunier Duval–Prodir,Lampre–Fondital
20,Paolo Savoldelli,Danilo Di Luca,Alessandro Petacchi,Leonardo Piepoli,Andy Schleck,Saunier Duval–Prodir,Lampre–Fondital
21,Alessandro Petacchi,Danilo Di Luca,Alessandro Petacchi,Leonardo Piepoli,Andy Schleck,Saunier Duval–Prodir,Lampre–Fondital
Final,Final,Danilo Di Luca,Alessandro Petacchi,Leonardo Piepoli,Andy Schleck,Saunier Duval–Prodir,Lampre–Fondital
