Stage,Winner,General classification,Points classification,Mountains classification,Team classification
P,Salvarani,Salvarani[N 1],not awarded,not awarded,not awarded
1,Marino Basso,Marino Basso,Marino Basso,not awarded,Molteni
2,Enrico Paolini,Enrico Paolini,Gianni Motta,Michele Dancelli,Scic
3,Ercole Gualazzini,Enrico Paolini,Gianni Motta,Michele Dancelli,Scic
4,Guerrino Tosello,Enrico Paolini,Gianni Motta,Roberto Sorlini,Scic
5,Vicente López Carril,Ugo Colombo,Marino Basso,Vicente López Carril,Scic
6,Domingo Perurena,Ugo Colombo,Marino Basso,Vicente López Carril,Molteni
7,Felice Gimondi,Aldo Moser,Marino Basso,Vicente López Carril,Salvarani
8,Romano Tumellero,Claudio Michelotto,Marino Basso,Vicente López Carril,Molteni
9,Marino Basso,Claudio Michelotto,Marino Basso,José Manuel Fuente,Molteni
10,José Manuel Fuente,Claudio Michelotto,Marino Basso,José Manuel Fuente,Molteni
11,Marino Basso,Claudio Michelotto,Marino Basso,José Manuel Fuente,Molteni
12,Davide Boifava,Claudio Michelotto,Marino Basso,José Manuel Fuente,Molteni
13,Patrick Sercu,Claudio Michelotto,Marino Basso,José Manuel Fuente,Molteni
14,Patrick Sercu,Claudio Michelotto,Marino Basso,José Manuel Fuente,Molteni
15,Franco Bitossi,Claudio Michelotto,Marino Basso,José Manuel Fuente,Molteni
16,Dino Zandegù,Claudio Michelotto,Marino Basso,José Manuel Fuente,Molteni
17,Pierfranco Vianelli,Claudio Michelotto,Marino Basso,Pierfranco Vianelli,Molteni
18,Felice Gimondi,Gösta Pettersson,Marino Basso,José Manuel Fuente,Molteni
19,Lino Farisato,Gösta Pettersson,Marino Basso,José Manuel Fuente,Molteni
20a,Giacinto Santambrogio,Gösta Pettersson,Marino Basso,José Manuel Fuente,Molteni
20b,Ole Ritter,Gösta Pettersson,Marino Basso,José Manuel Fuente,Molteni
Final,Final,Gösta Pettersson,Marino Basso,José Manuel Fuente,Molteni
