Stage,Winner,General classification,Mountains classification,Team classification
1,Dino Liviero,Dino Liviero,not awarded,Faema
2,Graziano Battistini,Dino Liviero,not awarded,Faema
3,Angelino Soler,Antonio Suárez,José Pérez Francés,Faema
4,Antonio Bailetti,Antonio Suárez,José Pérez Francés,Faema
5,Joseph Carrara,Antonio Suárez,Joseph Carrara,Faema
6,Willy Schroeders,Vincenzo Meco,Joseph Carrara,Faema
7,Armand Desmet,Armand Desmet,Joseph Carrara,Faema
8,Huub Zilverberg,Armand Desmet,Joseph Carrara,Faema
9,Rik Van Looy,Armand Desmet,Joseph Carrara,Faema
10,Giuseppe Tonucci,Armand Desmet,Joseph Carrara,Faema
11,Rik Van Looy,Armand Desmet,Joseph Carrara,Faema
12,Bruno Meali,Armand Desmet,Joseph Carrara,Faema
13,Guido Carlesi,Armand Desmet,Angelino Soler,Faema
14,Vincenzo Meco,Graziano Battistini,Angelino Soler,Faema
15,Vittorio Adorni,Graziano Battistini,Angelino Soler,Faema
16,Angelino Soler,Graziano Battistini,Angelino Soler,Faema
17,Armando Pellegrini,Franco Balmamion,Angelino Soler,Faema
18,Angelino Soler,Franco Balmamion,Angelino Soler,Faema
19,Giuseppe Sartore,Franco Balmamion,Angelino Soler,Faema
20,Alberto Assirelli,Franco Balmamion,Angelino Soler,Faema
21,Guido Carlesi,Franco Balmamion,Angelino Soler,Faema
Final,Final,Franco Balmamion,Angelino Soler,Faema
