Stage,Winner,General classification,Mountains classification,Team classification
1,Vittorio Adorni,Vittorio Adorni,not awarded,?
2,Michele Dancelli,Michele Dancelli,not awarded,?
3,Franco Bitossi,Enzo Moser,Antonio Gomez del Moral,Molteni
4,Vito Taccone,Enzo Moser,Antonio Gomez del Moral,Salvarani
5,Jacques Anquetil,Jacques Anquetil,Antonio Gomez del Moral,Salvarani
6,Mino Bariviera,Jacques Anquetil,Antonio Gomez del Moral,Salvarani
7,Angelino Soler,Jacques Anquetil,Antonio Gomez del Moral,Salvarani
8,Marcello Mugnaini,Jacques Anquetil,Antonio Gomez del Moral,Salvarani
9,Pietro Zoppas,Jacques Anquetil,Vito Taccone,Salvarani
10,Rolf Maurer,Jacques Anquetil,Vito Taccone,Salvarani
11,Raffaele Marcoli,Jacques Anquetil,Vito Taccone,Salvarani
12,Walter Boucquet,Jacques Anquetil,Vito Taccone,Saint-Raphaël
13,Giorgio Zancanaro,Jacques Anquetil,Vito Taccone,Carpano
14,Vittorio Adorni,Jacques Anquetil,Vito Taccone,Carpano
15,Nino Defilippis,Jacques Anquetil,Vito Taccone,Carpano
16,Franco Bitossi,Jacques Anquetil,Vito Taccone,Carpano
17,Franco Bitossi,Jacques Anquetil,Vito Taccone,Carpano
18,Bruno Mealli,Jacques Anquetil,Vito Taccone,Carpano
19,Cees Lute,Jacques Anquetil,Vito Taccone,Saint-Raphaël
20,Franco Bitossi,Jacques Anquetil,Franco Bitossi,Saint-Raphaël
21,Gianni Motta,Jacques Anquetil,Franco Bitossi,Saint-Raphaël
22,Willi Altig,Jacques Anquetil,Franco Bitossi,Saint-Raphaël
Final,Final,Jacques Anquetil,Franco Bitossi,Saint-Raphaël
