Stage,Winner,General classification,Mountains classification,Team classification,Group classification
1,Vasco Bergamaschi,Vasco Bergamaschi,not awarded,?,S.C. Vigor
2,Gino Bartali,Gino Bartali,not awarded,Legnano,S.C. Vigor
3,Cino Cinelli,Cino Cinelli,not awarded,?,?
4,Carmine Saponetti,Cino Cinelli,not awarded,Fréjus,La Voce di Mantova
5,Olimpio Bizzi,Cino Cinelli,not awarded,Fréjus,La Voce di Mantova
6a,Carmine Saponetti,Cino Cinelli,not awarded,Fréjus,La Voce di Mantova
6b,Giovanni Valetti,Cino Cinelli,Giovanni Valetti,Fréjus,La Voce di Mantova
7,Adolfo Leoni,Cino Cinelli,Giovanni Valetti & Gino Bartali,Fréjus,S.C. Vigor
8,Diego Marabelli,Cino Cinelli,Giovanni Valetti & Gino Bartali,Fréjus,S.C. Vigor
9a,Glauco Servadei,Secondo Magni,Giovanni Valetti & Gino Bartali,Fréjus,S.C. Vigor
9b,Gino Bartali,Giovanni Valetti,Enrico Mollo,Fréjus,S.C. Vigor
10,Olimpio Bizzi,Giovanni Valetti,Enrico Mollo & Michele Benente,Fréjus,S.C. Vigor
11,Pietro Chiappini,Giovanni Valetti,Enrico Mollo & Michele Benente,Fréjus,S.C. Vigor
12,Giordano Cottur,Giovanni Valetti,Enrico Mollo & Michele Benente,Fréjus,S.C. Vigor
13,Giovanni Valetti,Giovanni Valetti,Enrico Mollo & Michele Benente,Fréjus,S.C. Vigor
14,Secondo Magni,Giovanni Valetti,Gino Bartali,Fréjus,S.C. Vigor
15,Gino Bartali,Gino Bartali,Gino Bartali,Fréjus,S.C. Vigor
16,Giovanni Valetti,Giovanni Valetti,Gino Bartali,Fréjus,S.C. Vigor
17,Gino Bartali,Giovanni Valetti,Gino Bartali,Fréjus,S.C. Vigor
Final,Final,Giovanni Valetti,Gino Bartali,Fréjus,S.C. Vigor
