Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Trofeo Fast Team,Trofeo Super Team
1,Orica–GreenEDGE,Svein Tuft,not awarded,not awarded,Luke Durbridge,Orica–GreenEDGE,Orica–GreenEDGE
2,Marcel Kittel,Michael Matthews,Marcel Kittel,Maarten Tjallingii,Michael Matthews,Orica–GreenEDGE,Orica–GreenEDGE
3,Marcel Kittel,Michael Matthews,Marcel Kittel,Maarten Tjallingii,Michael Matthews,Orica–GreenEDGE,Team Sky
4,Nacer Bouhanni,Michael Matthews,Nacer Bouhanni,Maarten Tjallingii,Michael Matthews,Orica–GreenEDGE,Giant–Shimano
5,Diego Ulissi,Michael Matthews,Elia Viviani,Maarten Tjallingii,Michael Matthews,Astana,Giant–Shimano
6,Michael Matthews,Michael Matthews,Elia Viviani,Michael Matthews,Michael Matthews,BMC Racing Team,Giant–Shimano
7,Nacer Bouhanni,Michael Matthews,Nacer Bouhanni,Michael Matthews,Michael Matthews,BMC Racing Team,Giant–Shimano
8,Diego Ulissi,Cadel Evans,Nacer Bouhanni,Julián Arredondo,Rafał Majka,BMC Racing Team,Trek Factory Racing
9,Pieter Weening,Cadel Evans,Nacer Bouhanni,Julián Arredondo,Rafał Majka,Omega Pharma–Quick-Step,Lampre–Merida
10,Nacer Bouhanni,Cadel Evans,Nacer Bouhanni,Julián Arredondo,Rafał Majka,Omega Pharma–Quick-Step,Lampre–Merida
11,Michael Rogers,Cadel Evans,Nacer Bouhanni,Julián Arredondo,Rafał Majka,Omega Pharma–Quick-Step,Lampre–Merida
12,Rigoberto Urán,Rigoberto Urán,Nacer Bouhanni,Julián Arredondo,Rafał Majka,Omega Pharma–Quick-Step,Lampre–Merida
13,Marco Canola,Rigoberto Urán,Nacer Bouhanni,Julián Arredondo,Rafał Majka,Omega Pharma–Quick-Step,Lampre–Merida
14,Enrico Battaglin,Rigoberto Urán,Nacer Bouhanni,Julián Arredondo,Rafał Majka,Omega Pharma–Quick-Step,Lampre–Merida
15,Fabio Aru,Rigoberto Urán,Nacer Bouhanni,Julián Arredondo,Rafał Majka,Omega Pharma–Quick-Step,Lampre–Merida
16,Nairo Quintana,Nairo Quintana,Nacer Bouhanni,Julián Arredondo,Nairo Quintana,Ag2r–La Mondiale,Lampre–Merida
17,Stefano Pirazzi,Nairo Quintana,Nacer Bouhanni,Julián Arredondo,Nairo Quintana,Ag2r–La Mondiale,Omega Pharma–Quick-Step
18,Julián Arredondo,Nairo Quintana,Nacer Bouhanni,Julián Arredondo,Nairo Quintana,Ag2r–La Mondiale,Omega Pharma–Quick-Step
19,Nairo Quintana,Nairo Quintana,Nacer Bouhanni,Julián Arredondo,Nairo Quintana,Ag2r–La Mondiale,Omega Pharma–Quick-Step
20,Michael Rogers,Nairo Quintana,Nacer Bouhanni,Julián Arredondo,Nairo Quintana,Ag2r–La Mondiale,Omega Pharma–Quick-Step
21,Luka Mezgec,Nairo Quintana,Nacer Bouhanni,Julián Arredondo,Nairo Quintana,Ag2r–La Mondiale,Omega Pharma–Quick-Step
Final,Final,Nairo Quintana,Nacer Bouhanni,Julián Arredondo,Nairo Quintana,Ag2r–La Mondiale,Omega Pharma–Quick-Step
