Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
P,Knut Knudsen,Knut Knudsen,Knut Knudsen,not awarded,?,not awarded
1a,Guido Bontempi,Guido Bontempi,Giovanni Mantovani,not awarded,?,not awarded
1b,Hoonved-Bottecchia,Francesco Moser,Giovanni Mantovani,not awarded,?,Hoonved-Bottecchia
2,Paolo Rosola,Gregor Braun,Giovanni Mantovani,not awarded,?,Famcucine-Campagnolo
3,Giuseppe Saronni,Francesco Moser,Giovanni Mantovani,not awarded,?,Famcucine-Campagnolo
4,Mario Beccia,Francesco Moser,Giovanni Mantovani,not awarded,?,Hoonved-Bottecchia
5,Giuseppe Saronni,Francesco Moser,Giuseppe Saronni,not awarded,?,Famcucine-Campagnolo
6,Giuseppe Saronni,Giuseppe Saronni,Giuseppe Saronni,not awarded,?,Famcucine-Campagnolo
7,Palmiro Masciarelli,Giuseppe Saronni,Giuseppe Saronni,Beat Breu,?,Famcucine-Campagnolo
8,Moreno Argentin,Giuseppe Saronni,Giuseppe Saronni,Bruno Wolfer,?,Famcucine-Campagnolo
9,Serge Parsani,Giuseppe Saronni,Giuseppe Saronni,Claudio Bortolotto,?,Famcucine-Campagnolo
10,Gianbattista Baronchelli,Giuseppe Saronni,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
11,Giovanni Renosto,Giuseppe Saronni,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
12,Moreno Argentin,Giuseppe Saronni,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
13,Knut Knudsen,Roberto Visentini,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
14,Francesco Moser,Silvano Contini,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
15,Daniel Gisiger,Silvano Contini,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
16,Claudio Torelli,Silvano Contini,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
17,Benedetto Patellaro,Silvano Contini,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
18,Miguel María Lasa,Silvano Contini,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
19,Giovanni Battaglin,Silvano Contini,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
20,Beat Breu,Giovanni Battaglin,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
21,Pierino Gavazzi,Giovanni Battaglin,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
22,Knut Knudsen,Giovanni Battaglin,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
Final,Final,Giovanni Battaglin,Giuseppe Saronni,Claudio Bortolotto,Giuseppe Faraca,Bianchi-Piaggio
