Stage,Winner,General classification,Points classification,Mountains classification,Team classification
1,Willy Vannitsen,Willy Vannitsen,Willy Vannitsen,not awarded,Ghigi
2,Ercole Baldini,Ercole Baldini,Miguel Poblet,not awarded,Legnano
3,Salvador Botella,Arnaldo Pambianco,Miguel Poblet,not awarded,Faema
4,Federico Bahamontes,Aldo Moser,Miguel Poblet,Federico Bahamontes,Faema
5,Alfredo Sabbadin,Salvador Botella,Miguel Poblet,Federico Bahamontes,Faema
6,Silvano Ciampi,Giovanni Pettinati,Miguel Poblet,Federico Bahamontes,Faema
7,Guido Boni,Giovanni Pettinati,Miguel Poblet,Federico Bahamontes,Faema
8,Ercole Baldini,Giovanni Pettinati,Miguel Poblet,Federico Bahamontes,Faema
9,Nino Defilippis,Giovanni Pettinati,Miguel Poblet,Federico Bahamontes,Faema
10,Gastone Nencini,Giovanni Pettinati,Miguel Poblet,Federico Bahamontes,Faema
11,Nino Defilippis,Giovanni Pettinati,Miguel Poblet,Federico Bahamontes,Faema
12,Pierino Baffi,Agostino Coletto,Miguel Poblet,Federico Bahamontes,Faema
13,Guido Carlesi,Agostino Coletto,Miguel Poblet,Federico Bahamontes,Carpano
14,Charly Gaul,Agostino Coletto,Miguel Poblet,Federico Bahamontes,Carpano
15,Ercole Baldini,Ercole Baldini,Miguel Poblet,Federico Bahamontes,Carpano
16,Miguel Poblet,Ercole Baldini,Miguel Poblet,Federico Bahamontes,Carpano
17,Ercole Baldini,Ercole Baldini,Miguel Poblet,Jean Brankart,Carpano
18,Gastone Nencini,Ercole Baldini,Miguel Poblet,Jean Brankart,Faema
19,Miguel Poblet,Ercole Baldini,Miguel Poblet,Jean Brankart,Faema
20,Miguel Poblet,Ercole Baldini,Miguel Poblet,Jean Brankart,Carpano
Final,Final,Ercole Baldini,Miguel Poblet,Jean Brankart,Carpano
