Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,General Super Team,Intermediate sprint classification,Combativity classification,Breakaway classification,Fair play classification
1,Primož Roglič,Primož Roglič,Primož Roglič[a],Giulio Ciccone,Miguel Ángel López,Team Jumbo–Visma,not awarded,Primož Roglič,not awarded,Team Jumbo–Visma
2,Pascal Ackermann,Primož Roglič,Pascal Ackermann,Giulio Ciccone,Miguel Ángel López,Team Jumbo–Visma,Damiano Cima,Damiano Cima,Łukasz Owsian,Team Jumbo–Visma
3,Fernando Gaviria,Primož Roglič,Fernando Gaviria,Giulio Ciccone,Miguel Ángel López,Team Jumbo–Visma,Arnaud Démare,Arnaud Démare,Łukasz Owsian,Mitchelton–Scott
4,Richard Carapaz,Primož Roglič,Pascal Ackermann,Giulio Ciccone,Miguel Ángel López,Bora–Hansgrohe,Damiano Cima,Damiano Cima,Marco Frapporti,Mitchelton–Scott
5,Pascal Ackermann,Primož Roglič,Pascal Ackermann,Giulio Ciccone,Miguel Ángel López,Bora–Hansgrohe,Damiano Cima,Pascal Ackermann,Marco Frapporti,Mitchelton–Scott
6,Fausto Masnada,Valerio Conti,Pascal Ackermann,Giulio Ciccone,Giovanni Carboni,Movistar Team,Damiano Cima,Pascal Ackermann,Marco Frapporti,UAE Team Emirates
7,Pello Bilbao,Valerio Conti,Pascal Ackermann,Giulio Ciccone,Giovanni Carboni,Movistar Team,Damiano Cima,Pascal Ackermann,Marco Frapporti,UAE Team Emirates
8,Caleb Ewan,Valerio Conti,Pascal Ackermann,Giulio Ciccone,Giovanni Carboni,Movistar Team,Damiano Cima,Pascal Ackermann,Marco Frapporti,UAE Team Emirates
9,Primož Roglič,Valerio Conti,Pascal Ackermann,Giulio Ciccone,Nans Peters,Movistar Team,Damiano Cima,Pascal Ackermann,Marco Frapporti,UAE Team Emirates
10,Arnaud Démare,Valerio Conti,Pascal Ackermann,Giulio Ciccone,Nans Peters,Movistar Team,Damiano Cima,Arnaud Démare,Marco Frapporti,UAE Team Emirates
11,Caleb Ewan,Valerio Conti,Arnaud Démare,Giulio Ciccone,Nans Peters,Movistar Team,Damiano Cima,Arnaud Démare,Marco Frapporti,UAE Team Emirates
12,Cesare Benedetti,Jan Polanc,Arnaud Démare,Gianluca Brambilla,Hugh Carthy,Androni Giocattoli–Sidermec,Damiano Cima,Arnaud Démare,Marco Frapporti,UAE Team Emirates
13,Ilnur Zakarin,Jan Polanc,Arnaud Démare,Giulio Ciccone,Pavel Sivakov,Movistar Team,Damiano Cima,Arnaud Démare,Marco Frapporti,UAE Team Emirates
14,Richard Carapaz,Richard Carapaz,Arnaud Démare,Giulio Ciccone,Pavel Sivakov,Movistar Team,Damiano Cima,Arnaud Démare,Marco Frapporti,Movistar Team
15,Dario Cataldo,Richard Carapaz,Arnaud Démare,Giulio Ciccone,Pavel Sivakov,Movistar Team,Damiano Cima,Arnaud Démare,Marco Frapporti,Bahrain–Merida
16,Giulio Ciccone,Richard Carapaz,Arnaud Démare,Giulio Ciccone,Miguel Ángel López,Movistar Team,Damiano Cima,Fausto Masnada,Marco Frapporti,Bahrain–Merida
17,Nans Peters,Richard Carapaz,Arnaud Démare,Giulio Ciccone,Miguel Ángel López,Movistar Team,Fausto Masnada,Fausto Masnada,Marco Frapporti,Bahrain–Merida
18,Damiano Cima,Richard Carapaz,Pascal Ackermann,Giulio Ciccone,Miguel Ángel López,Movistar Team,Damiano Cima,Fausto Masnada,Damiano Cima,Bahrain–Merida
19,Esteban Chaves,Richard Carapaz,Pascal Ackermann,Giulio Ciccone,Miguel Ángel López,Movistar Team,Damiano Cima,Fausto Masnada,Damiano Cima,Bahrain–Merida
20,Pello Bilbao,Richard Carapaz,Pascal Ackermann,Giulio Ciccone,Miguel Ángel López,Movistar Team,Fausto Masnada,Fausto Masnada,Damiano Cima,Bahrain–Merida
21,Chad Haga,Richard Carapaz,Pascal Ackermann,Giulio Ciccone,Miguel Ángel López,Movistar Team,Fausto Masnada,Fausto Masnada,Damiano Cima,Bahrain–Merida
Final,Final,Richard Carapaz,Pascal Ackermann,Giulio Ciccone,Miguel Ángel López,Movistar Team,Fausto Masnada,Fausto Masnada,Damiano Cima,Bahrain–Merida
