Stage,Winner,General classification,Points classification,Mountains classification,Team classification
1,Silvio Martinello,Silvio Martinello,Silvio Martinello,Fabiano Fontanelli,Scrigno–Blue Storm
2,Glenn Magnusson,Silvio Martinello,Stefano Zanini,Fabiano Fontanelli,Scrigno–Blue Storm
3,Giovanni Lombardi,Stefano Zanini,Stefano Zanini,Fabiano Fontanelli,Panaria–Vinavil
4,Mario Cipollini,Silvio Martinello,Silvio Martinello,Fabiano Fontanelli,Scrigno–Blue Storm
5,Ángel Edo,Silvio Martinello,Silvio Martinello,Fabiano Fontanelli,Panaria–Vinavil
6,Pascal Hervé,Pascal Hervé,Silvio Martinello,Fabiano Fontanelli,Saeco–AS Juvenes San Marino
7,Davide Rebellin,Davide Rebellin,Silvio Martinello,Fabiano Fontanelli,Team Polti
8,Mario Cipollini,Davide Rebellin,Silvio Martinello,Fabiano Fontanelli,Team Polti
9,Enrico Zaina,Davide Rebellin,Silvio Martinello,Fabiano Fontanelli,Team Polti
10,Rodolfo Massi,Davide Rebellin,Silvio Martinello,Fabiano Fontanelli,Gewiss Playbus
11,Mario Cipollini,Davide Rebellin,Silvio Martinello,Fabiano Fontanelli,Gewiss Playbus
12,Fabiano Fontanelli,Davide Rebellin,Fabrizio Guidi,Fabiano Fontanelli,Gewiss Playbus
13,Pavel Tonkov,Pavel Tonkov,Silvio Martinello,Mariano Piccoli,Gewiss Playbus
14,Pascal Richard,Pavel Tonkov,Fabrizio Guidi,Mariano Piccoli,Carrera Jeans–Tassoni
15,Gianni Bugno,Pavel Tonkov,Fabrizio Guidi,Mariano Piccoli,Carrera Jeans–Tassoni
16,Alexander Gontchenkov,Pavel Tonkov,Fabrizio Guidi,Mariano Piccoli,Carrera Jeans–Tassoni
17,Nicolaj Bo Larsen,Pavel Tonkov,Fabrizio Guidi,Mariano Piccoli,Carrera Jeans–Tassoni
18,Mario Cipollini,Pavel Tonkov,Fabrizio Guidi,Mariano Piccoli,Carrera Jeans–Tassoni
19,Evgeni Berzin,Pavel Tonkov,Fabrizio Guidi,Mariano Piccoli,Gewiss Playbus
20,Enrico Zaina,Abraham Olano,Fabrizio Guidi,Mariano Piccoli,Carrera Jeans–Tassoni
21,Ivan Gotti,Pavel Tonkov,Fabrizio Guidi,Mariano Piccoli,Carrera Jeans–Tassoni
22,Serguei Outschakov,Pavel Tonkov,Fabrizio Guidi,Mariano Piccoli,Carrera Jeans–Tassoni
Final,Final,Pavel Tonkov,Fabrizio Guidi,Mariano Piccoli,Carrera Jeans–Tassoni
