Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
P,Francesco Moser,Francesco Moser,not awarded,not awarded,not awarded,not awarded
1,Urs Freuler,Francesco Moser,Urs Freuler,not awarded,Roberto Calovi,Gis Gelati-Trentino Vacanze
2,Del Tongo-Colnago,Giuseppe Saronni,Urs Freuler,not awarded,Roberto Calovi,Del Tongo-Colnago
3,Giuseppe Saronni,Giuseppe Saronni,Giuseppe Saronni,Acácio da Silva,Alberto Volpi,Del Tongo-Colnago
4,Hubert Seiz,Roberto Visentini,Johan van der Velde,Acácio da Silva,Alberto Volpi,Carrera–Inoxpran
5,Emanuele Bombini[N 1],Roberto Visentini,Johan van der Velde,Acácio da Silva,Alberto Volpi,Carrera–Inoxpran
6,Frank Hoste,Roberto Visentini,Urs Freuler,Acácio da Silva,Alberto Volpi,Carrera–Inoxpran
7,Orlando Maini,Roberto Visentini,Johan van der Velde,Acácio da Silva,Alberto Volpi,Carrera–Inoxpran
8a,Stefano Allocchio,Roberto Visentini,Johan van der Velde,Acácio da Silva,Alberto Volpi,Carrera–Inoxpran
8b,Acácio da Silva,Roberto Visentini,Johan van der Velde,Acácio da Silva,Alberto Volpi,Carrera–Inoxpran
9,Paolo Rosola,Roberto Visentini,Johan van der Velde,Acácio da Silva,Alberto Volpi,Carrera–Inoxpran
10,Acácio da Silva,Roberto Visentini,Johan van der Velde,Acácio da Silva,Alberto Volpi,Alpilatte-Olmo-Cierre
11,Stefano Allocchio,Roberto Visentini,Johan van der Velde,Acácio da Silva,Alberto Volpi,Alpilatte-Olmo-Cierre
12,Bernard Hinault,Bernard Hinault,Johan van der Velde & Urs Freuler,Acácio da Silva,Alberto Volpi,Alpilatte-Olmo-Cierre
13,Urs Freuler,Bernard Hinault,Urs Freuler,Acácio da Silva,Alberto Volpi,Alpilatte-Olmo-Cierre
14,Franco Chioccioli,Bernard Hinault,Johan van der Velde,Acácio da Silva,Alberto Volpi,Alpilatte-Olmo-Cierre
15,Ron Kiefel,Bernard Hinault,Johan van der Velde,Acácio da Silva,Alberto Volpi,Alpilatte-Olmo-Cierre
16,Giuseppe Saronni,Bernard Hinault,Johan van der Velde,Acácio da Silva,Alberto Volpi,Alpilatte-Olmo-Cierre
17,Daniel Gisiger,Bernard Hinault,Johan van der Velde,José Luis Navarro,Alberto Volpi,Del Tongo-Colnago
18,Paolo Rosola,Bernard Hinault,Johan van der Velde,José Luis Navarro,Alberto Volpi,Del Tongo-Colnago
19,Francesco Moser,Bernard Hinault,Johan van der Velde,José Luis Navarro,Alberto Volpi,Del Tongo-Colnago
20,Andrew Hampsten,Bernard Hinault,Johan van der Velde,José Luis Navarro,Alberto Volpi,Alpilatte-Olmo-Cierre
21,Urs Freuler,Bernard Hinault,Johan van der Velde,José Luis Navarro,Alberto Volpi,Alpilatte-Olmo-Cierre
22,Francesco Moser,Bernard Hinault,Johan van der Velde,José Luis Navarro,Alberto Volpi,Alpilatte-Olmo-Cierre
Final,Final,Bernard Hinault,Johan van der Velde,José Luis Navarro,Alberto Volpi,Alpilatte-Olmo-Cierre
