Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
1a,Patrick Sercu,Patrick Sercu,not awarded,not awarded,?,not awarded
1b,Patrick Sercu,Patrick Sercu,Patrick Sercu,not awarded,?,Brooklyn
2,Roger De Vlaeminck,Roger De Vlaeminck,Patrick Sercu,not awarded,?,Brooklyn
3,Rik Van Linden,Patrick Sercu,Patrick Sercu,Eddy Merckx,?,Brooklyn
4,Francesco Moser,Roger De Vlaeminck,Roger De Vlaeminck,Eddy Merckx,?,Brooklyn
5,Roger De Vlaeminck,Roger De Vlaeminck,Roger De Vlaeminck,Eddy Merckx,?,Brooklyn
6,Johan De Muynck,Johan De Muynck,Roger De Vlaeminck,Eddy Merckx,?,Brooklyn
7,Francesco Moser,Francesco Moser,Roger De Vlaeminck,Eddy Merckx,?,Brooklyn
8,Roger De Vlaeminck,Felice Gimondi,Roger De Vlaeminck,Eddy Merckx,?,Brooklyn
9,Fabrizio Fabbri,Felice Gimondi,Roger De Vlaeminck,Fabrizio Fabbri,?,Brooklyn
10,Patrick Sercu,Felice Gimondi,Roger De Vlaeminck,Fabrizio Fabbri,?,Brooklyn
11,Antonio Menéndez,Felice Gimondi,Roger De Vlaeminck,Fabrizio Fabbri,?,Brooklyn
12,Sigfrido Fontanelli,Felice Gimondi,Roger De Vlaeminck,Fabrizio Fabbri,?,Brooklyn
13,Ronny De Witte,Felice Gimondi,Roger De Vlaeminck,Fabrizio Fabbri,?,Brooklyn
14,Francesco Moser,Felice Gimondi,Roger De Vlaeminck,Andrés Oliva,?,Brooklyn
15,Rik Van Linden,Felice Gimondi,Roger De Vlaeminck,Andrés Oliva,?,Brooklyn
16,Roger De Vlaeminck,Felice Gimondi,Roger De Vlaeminck,Andrés Oliva,?,Brooklyn
17,Ercole Gualazzini,Felice Gimondi,Roger De Vlaeminck,Andrés Oliva,?,Brooklyn
18,Simone Fraccaro,Felice Gimondi,Roger De Vlaeminck,Andrés Oliva,?,Brooklyn
19,Andrés Gandarias,Johan De Muynck,Roger De Vlaeminck,Andrés Oliva,Alfio Vandi,Brooklyn
20,Luciano Conati,Johan De Muynck,Francesco Moser,Andrés Oliva,Alfio Vandi,Brooklyn
21,Felice Gimondi,Johan De Muynck,Francesco Moser,Andrés Oliva,Alfio Vandi,Brooklyn
22a,Joseph Bruyère,Felice Gimondi,Francesco Moser,Andrés Oliva,Alfio Vandi,Brooklyn
22b,Daniele Tinchella,Felice Gimondi,Francesco Moser,Andrés Oliva,Alfio Vandi,Brooklyn
Final,Final,Felice Gimondi,Francesco Moser,Andrés Oliva,Alfio Vandi,Brooklyn
