Stage,Winner,General classification,Mountains classification,Team classification
1,Rik Van Looy,Rik Van Looy,not awarded,Faema–Guerra
2,Jacques Anquetil,Jacques Anquetil,not awarded,Faema–Guerra
3,Charly Gaul,Charly Gaul,Charly Gaul,Faema–Guerra
4,Armando Pellegrini,Charly Gaul,Charly Gaul & Armando Pellegrini,EMI
5,Rik Van Looy,Charly Gaul,Charly Gaul & Jos Hoevenaers,Faema–Guerra
6,Miguel Poblet,Charly Gaul,Charly Gaul & Jos Hoevenaers,Faema–Guerra
7,Charly Gaul,Charly Gaul,Charly Gaul,Faema–Guerra
8,Antonino Catalano,Charly Gaul,Charly Gaul,Faema–Guerra
9,Gastone Nencini,Charly Gaul,Charly Gaul,EMI
10,Rino Benedettii,Charly Gaul,Charly Gaul,EMI
11,Rik Van Looy,Charly Gaul,Charly Gaul,Faema–Guerra
12,Nino Defilippis,Charly Gaul,Charly Gaul,EMI
13,Miguel Poblet,Charly Gaul,Charly Gaul,Faema–Guerra
14,Rik Van Looy,Charly Gaul,Charly Gaul,EMI
15,Miguel Poblet,Jacques Anquetil,Charly Gaul,EMI
16,Alessandro Fantini,Jacques Anquetil,Charly Gaul,EMI
17,Arigo Padovan,Jacques Anquetil,Charly Gaul,Atala–Pirelli–Lygi
18,Vito Favero,Jacques Anquetil,Charly Gaul,Atala–Pirelli–Lygi
19,Jacques Anquetil,Jacques Anquetil,Charly Gaul,Atala–Pirelli–Lygi
20,Alfredo Sabbadin,Jacques Anquetil,Charly Gaul,Atala–Pirelli–Lygi
21,Charly Gaul,Charly Gaul,Charly Gaul,Atala–Pirelli–Lygi
22,Rolf Graf,Charly Gaul,Charly Gaul,Atala–Pirelli–Lygi
Final,Final,Charly Gaul,Charly Gaul,Atala–Pirelli–Lygi
