Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
P,Freddy Maertens,Freddy Maertens,Freddy Maertens,not awarded,José Enrique Cima,Flandria
1,Freddy Maertens,Freddy Maertens,Freddy Maertens,not awarded,José Enrique Cima,Flandria
2a,Rik Van Linden,Freddy Maertens,Freddy Maertens,Faustino Fernández Ovies,José Enrique Cima,Flandria
2b,Luciano Borgognoni,Freddy Maertens,Freddy Maertens,Faustino Fernández Ovies,José Enrique Cima,Flandria
3,Simone Fraccaro,Freddy Maertens,Freddy Maertens,Francesco Moser,José Enrique Cima,Flandria
4,Freddy Maertens,Freddy Maertens,Freddy Maertens,Francesco Moser,José Enrique Cima,Flandria
5,Mario Beccia,Francesco Moser,Freddy Maertens,Faustino Fernández Ovies,Mario Beccia,Flandria
6a,Freddy Maertens,Francesco Moser,Freddy Maertens,Faustino Fernández Ovies,Mario Beccia,Flandria
6b,Freddy Maertens,Francesco Moser,Freddy Maertens,Faustino Fernández Ovies,Mario Beccia,Flandria
7,Freddy Maertens,Francesco Moser,Freddy Maertens,Faustino Fernández Ovies,Mario Beccia,Flandria
8a,Freddy Maertens,Francesco Moser,Freddy Maertens,Faustino Fernández Ovies,Mario Beccia,Flandria
8b,Marino Basso,Francesco Moser,Freddy Maertens,Faustino Fernández Ovies,Mario Beccia,Flandria
9,Knut Knudsen,Francesco Moser,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
10,Giacinto Santambrogio,Francesco Moser,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
11,Claudio Bortolotto,Francesco Moser,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
12,Wilmo Francioni,Francesco Moser,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
13,Giancarlo Tartoni,Francesco Moser,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
14,Marc Demeyer,Francesco Moser,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
15,Ercole Gualazzini,Francesco Moser,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
16a,Marc Demeyer,Francesco Moser,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
16b,Pierino Gavazzi,Francesco Moser,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
17,Giuseppe Perletto,Michel Pollentier,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
18,Gianbattista Baronchelli,Michel Pollentier,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
19,Renato Laghi,Michel Pollentier,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
20,Wilmo Francioni,Michel Pollentier,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
21,Michel Pollentier,Michel Pollentier,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
22,Luciano Borgognoni,Michel Pollentier,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
Final,Final,Michel Pollentier,Francesco Moser,Faustino Fernández Ovies,Mario Beccia,Flandria
