Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Trofeo Fast Team,Trofeo Super Team
1,Orica–GreenEDGE,Simon Gerrans,not awarded,not awarded,Michael Matthews,Orica–GreenEDGE,Orica–GreenEDGE
2,Elia Viviani,Michael Matthews,Elia Viviani,Bert-Jan Lindeman,Michael Matthews,Orica–GreenEDGE,Orica–GreenEDGE
3,Michael Matthews,Michael Matthews,Elia Viviani,Pavel Kochetkov,Michael Matthews,Orica–GreenEDGE,Orica–GreenEDGE
4,Davide Formolo,Simon Clarke,Elia Viviani,Pavel Kochetkov,Esteban Chaves,Astana,Orica–GreenEDGE
5,Jan Polanc,Alberto Contador,Elia Viviani,Jan Polanc,Fabio Aru,Astana,Orica–GreenEDGE
6,André Greipel,Alberto Contador,André Greipel,Jan Polanc,Fabio Aru,Astana,Orica–GreenEDGE
7,Diego Ulissi,Alberto Contador,Elia Viviani,Jan Polanc,Fabio Aru,Astana,Orica–GreenEDGE
8,Beñat Intxausti,Alberto Contador,Elia Viviani,Beñat Intxausti,Fabio Aru,Astana,Orica–GreenEDGE
9,Paolo Tiralongo,Alberto Contador,Elia Viviani,Simon Geschke,Fabio Aru,Astana,Astana
10,Nicola Boem,Alberto Contador,Nicola Boem,Simon Geschke,Fabio Aru,Astana,Astana
11,Ilnur Zakarin,Alberto Contador,Nicola Boem,Beñat Intxausti,Fabio Aru,Astana,Astana
12,Philippe Gilbert,Alberto Contador,Nicola Boem,Beñat Intxausti,Fabio Aru,Astana,Astana
13,Sacha Modolo,Fabio Aru,Elia Viviani,Beñat Intxausti,Fabio Aru,Astana,Astana
14,Vasil Kiryienka,Alberto Contador,Elia Viviani,Beñat Intxausti,Fabio Aru,Astana,Astana
15,Mikel Landa,Alberto Contador,Elia Viviani,Beñat Intxausti,Fabio Aru,Astana,Astana
16,Mikel Landa,Alberto Contador,Elia Viviani,Steven Kruijswijk,Fabio Aru,Astana,Astana
17,Sacha Modolo,Alberto Contador,Giacomo Nizzolo,Steven Kruijswijk,Fabio Aru,Astana,Astana
18,Philippe Gilbert,Alberto Contador,Giacomo Nizzolo,Steven Kruijswijk,Fabio Aru,Astana,Astana
19,Fabio Aru,Alberto Contador,Giacomo Nizzolo,Giovanni Visconti,Fabio Aru,Astana,Astana
20,Fabio Aru,Alberto Contador,Giacomo Nizzolo,Giovanni Visconti,Fabio Aru,Astana,Astana
21,Iljo Keisse,Alberto Contador,Giacomo Nizzolo,Giovanni Visconti,Fabio Aru,Astana,Astana
Final,Final,Alberto Contador,Giacomo Nizzolo,Giovanni Visconti,Fabio Aru,Astana,Astana
