Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,General Super Team,Intermediate sprint classification,Combativity classification,Breakaway classification,Fair play classification
1,Filippo Ganna,Filippo Ganna,Filippo Ganna,Rick Zabel,Filippo Ganna,Ineos Grenadiers,Not awarded,Filippo Ganna,Not awarded,Ineos Grenadiers
2,Diego Ulissi,Filippo Ganna,Diego Ulissi,Peter Sagan,Filippo Ganna,Ineos Grenadiers,Thomas De Gendt,Thomas De Gendt,Ben Gastauer,Ineos Grenadiers
3,Jonathan Caicedo,João Almeida,Diego Ulissi,Jonathan Caicedo,João Almeida,Deceuninck–Quick-Step,Thomas De Gendt,Jonathan Caicedo,Giovanni Visconti,Deceuninck–Quick-Step
4,Arnaud Démare,João Almeida,Peter Sagan,Jonathan Caicedo,João Almeida,Deceuninck–Quick-Step,Thomas De Gendt,Jonathan Caicedo,Giovanni Visconti,Team Sunweb
5,Filippo Ganna,João Almeida,Peter Sagan,Filippo Ganna,João Almeida,Deceuninck–Quick-Step,Thomas De Gendt,Jonathan Caicedo,Filippo Ganna,Team Sunweb
6,Arnaud Démare,João Almeida,Arnaud Démare,Filippo Ganna,João Almeida,Deceuninck–Quick-Step,Mattia Bais,Jonathan Caicedo,Mattia Bais,Trek–Segafredo
7,Arnaud Démare,João Almeida,Arnaud Démare,Filippo Ganna,João Almeida,Deceuninck–Quick-Step,Marco Frapporti,Arnaud Démare,Mattia Bais,Trek–Segafredo
8,Alex Dowsett,João Almeida,Arnaud Démare,Filippo Ganna,João Almeida,Ineos Grenadiers,Marco Frapporti,Arnaud Démare,Mattia Bais,Trek–Segafredo
9,Ruben Guerreiro,João Almeida,Arnaud Démare,Ruben Guerreiro,João Almeida,Ineos Grenadiers,Marco Frapporti,Ruben Guerreiro,Salvatore Puccio,Movistar Team
10,Peter Sagan,João Almeida,Arnaud Démare,Ruben Guerreiro,João Almeida,Ineos Grenadiers,Marco Frapporti,Peter Sagan,Salvatore Puccio,Movistar Team
11,Arnaud Démare,João Almeida,Arnaud Démare,Ruben Guerreiro,João Almeida,Ineos Grenadiers,Marco Frapporti,Peter Sagan,Mattia Bais,Movistar Team
12,Jhonatan Narváez,João Almeida,Arnaud Démare,Ruben Guerreiro,João Almeida,Ineos Grenadiers,Marco Frapporti,Peter Sagan,Mattia Bais,AG2R La Mondiale
13,Diego Ulissi,João Almeida,Arnaud Démare,Ruben Guerreiro,João Almeida,Ineos Grenadiers,Simon Pellaud,Simon Pellaud,Mattia Bais,AG2R La Mondiale
14,Filippo Ganna,João Almeida,Arnaud Démare,Ruben Guerreiro,João Almeida,Ineos Grenadiers,Simon Pellaud,Simon Pellaud,Mattia Bais,AG2R La Mondiale
15,Tao Geoghegan Hart,João Almeida,Arnaud Démare,Giovanni Visconti,João Almeida,Ineos Grenadiers,Simon Pellaud,Simon Pellaud,Mattia Bais,AG2R La Mondiale
16,Jan Tratnik,João Almeida,Arnaud Démare,Giovanni Visconti,João Almeida,Ineos Grenadiers,Simon Pellaud,Simon Pellaud,Mattia Bais,Groupama–FDJ
17,Ben O'Connor,João Almeida,Arnaud Démare,Ruben Guerreiro,João Almeida,Ineos Grenadiers,Simon Pellaud,Thomas De Gendt,Mattia Bais,Groupama–FDJ
18,Jai Hindley,Wilco Kelderman,Arnaud Démare,Ruben Guerreiro,Jai Hindley,Ineos Grenadiers,Simon Pellaud,Thomas De Gendt,Mattia Bais,Groupama–FDJ
19,Josef Černý,Wilco Kelderman,Arnaud Démare,Ruben Guerreiro,Jai Hindley,Ineos Grenadiers,Simon Pellaud,Thomas De Gendt,Mattia Bais,Groupama–FDJ
20,Tao Geoghegan Hart,Jai Hindley,Arnaud Démare,Ruben Guerreiro,Jai Hindley,Ineos Grenadiers,Simon Pellaud,Thomas De Gendt,Mattia Bais,Groupama–FDJ
21,Filippo Ganna,Tao Geoghegan Hart,Arnaud Démare,Ruben Guerreiro,Tao Geoghegan Hart,Ineos Grenadiers,Simon Pellaud,Thomas De Gendt,Mattia Bais,Groupama–FDJ
Final,Final,Tao Geoghegan Hart,Arnaud Démare,Ruben Guerreiro,Tao Geoghegan Hart,Ineos Grenadiers,Simon Pellaud,Thomas De Gendt,Mattia Bais,Groupama–FDJ
