Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
P,Stage Cancelled,not awarded,not awarded,not awarded,not awarded,not awarded
1,Bianchi-Piaggio,Tommy Prim,not awarded,not awarded,not awarded,Bianchi-Piaggio
2,Guido Bontempi,Urs Freuler,Guido Bontempi,not awarded,?,Bianchi-Piaggio
3,Paolo Rosola,Paolo Rosola,Paolo Rosola,not awarded,?,Bianchi-Piaggio
4,Giuseppe Saronni,Paolo Rosola,Paolo Rosola,Harald Maier,?,Bianchi-Piaggio
5,Eduardo Chozas,Silvano Contini,Giuseppe Saronni,Lucien Van Impe,Fabrizio Verza,Bianchi-Piaggio
6,Alberto Fernández,Silvano Contini,Giuseppe Saronni,Alberto Fernández,Fabrizio Verza,Metauro Mobili-Pinarello
7,Moreno Argentin,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Fabrizio Verza,Metauro Mobili-Pinarello
8,Guido Bontempi,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Fabrizio Verza,Metauro Mobili-Pinarello
9,Riccardo Magrini,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Fabrizio Verza,Metauro Mobili-Pinarello
10,Palmiro Masciarelli,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Fabrizio Verza,Metauro Mobili-Pinarello
11,Lucien Van Impe,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Fabrizio Verza,Metauro Mobili-Pinarello
12,Alf Segersäll,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Fabrizio Verza,Metauro Mobili-Pinarello
13,Giuseppe Saronni,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Metauro Mobili-Pinarello
14,Gregor Braun,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Metauro Mobili-Pinarello
15,Paolo Rosola,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Metauro Mobili-Pinarello
16a,Frank Hoste,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Metauro Mobili-Pinarello
16b,Giuseppe Saronni,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Metauro Mobili-Pinarello
17,Alberto Fernández,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Zor-Gemeaz Cusin
18,Paolo Rosola,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Zor-Gemeaz Cusin
19,Mario Beccia,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Zor-Gemeaz Cusin
20,Alessandro Paganessi,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Zor-Gemeaz Cusin
21,Moreno Argentin,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Zor-Gemeaz Cusin
22,Roberto Visentini,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Zor-Gemeaz Cusin
Final,Final,Giuseppe Saronni,Giuseppe Saronni,Lucien Van Impe,Franco Chioccioli,Zor-Gemeaz Cusin
