Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
1,Gianni Bugno,Gianni Bugno,Gianni Bugno,not awarded,Joachim Halupczok,Diana–Colnago–Animex
2,Giovanni Fidanza,Gianni Bugno,Giovanni Fidanza,Claudio Chiappucci,Joachim Halupczok,Castorama
3,Eduardo Chozas,Gianni Bugno,Gianni Bugno,Eduardo Chozas,Daniel Steiger,Castorama
4a,Stefano Allocchio,Gianni Bugno,Giovanni Fidanza,Eduardo Chozas,Daniel Steiger,Castorama
4b,Phil Anderson,Gianni Bugno,Giovanni Fidanza,Eduardo Chozas,Daniel Steiger,Castorama
5,Fabrizio Convalle,Gianni Bugno,Giovanni Fidanza,Claudio Chiappucci & Eduardo Chozas,Daniel Steiger,Carrera Jeans–Vagabond
6,Luca Gelfi,Gianni Bugno,Giovanni Fidanza,Phil Anderson,Daniel Steiger,Carrera Jeans–Vagabond
7,Gianni Bugno,Gianni Bugno,Gianni Bugno,Claudio Chiappucci,Daniel Steiger,Carrera Jeans–Vagabond
8,Stefano Allocchio,Gianni Bugno,Giovanni Fidanza,Claudio Chiappucci,Daniel Steiger,Carrera Jeans–Vagabond
9,Vladimir Poulnikov,Gianni Bugno,Giovanni Fidanza,Claudio Chiappucci,Joachim Halupczok,Carrera Jeans–Vagabond
10,Luca Gelfi,Gianni Bugno,Gianni Bugno,Claudio Chiappucci,Joachim Halupczok,Diana–Colnago–Animex
11,Adriano Baffi,Gianni Bugno,Phil Anderson,Claudio Chiappucci,Joachim Halupczok,Diana–Colnago–Animex
12,Éric Boyer,Gianni Bugno,Phil Anderson,Claudio Chiappucci,Joachim Halupczok,Carrera Jeans–Vagabond
13,Mario Cipollini,Gianni Bugno,Phil Anderson,Claudio Chiappucci,Joachim Halupczok,Carrera Jeans–Vagabond
14,Allan Peiper,Gianni Bugno,Phil Anderson,Claudio Chiappucci,Joachim Halupczok,Carrera Jeans–Vagabond
15,Éric Boyer,Gianni Bugno,Phil Anderson,Claudio Chiappucci,Joachim Halupczok,Carrera Jeans–Vagabond
16,Charly Mottet,Gianni Bugno,Phil Anderson,Claudio Chiappucci,Vladimir Poulnikov,ONCE
17,Leonardo Sierra,Gianni Bugno,Gianni Bugno,Claudio Chiappucci,Vladimir Poulnikov,ONCE
18,Adriano Baffi,Gianni Bugno,Phil Anderson,Claudio Chiappucci,Vladimir Poulnikov,ONCE
19,Gianni Bugno,Gianni Bugno,Gianni Bugno,Claudio Chiappucci,Vladimir Poulnikov,ONCE
20,Mario Cipollini,Gianni Bugno,Gianni Bugno,Claudio Chiappucci,Vladimir Poulnikov,ONCE
Final,Final,Gianni Bugno,Gianni Bugno,Claudio Chiappucci,Vladimir Poulnikov,ONCE
