Stage,Winner,General classification,Points classification,Mountains classification,Team classification
P,Charly Grosskost,(Charly Grosskost)[N 1],not awarded,not awarded,not awarded
1,Eddy Merckx,Eddy Merckx,Eddy Merckx,not awarded,Faema
2,Eddy Merckx[N 2],Eddy Merckx,Eddy Merckx,Julio Jiménez,Faema
3,Guido Reybrouck,Michele Dancelli,Eddy Merckx,Julio Jiménez,Faema
4,Ward Sels,Michele Dancelli,Guido Reybrouck,Julio Jiménez,Faema
5,Italo Zilioli,Michele Dancelli,Guido Reybrouck,Julio Jiménez & Eddy Merckx,Faema
6,José Antonio Momeñe,Michele Dancelli,Eddy Merckx,Julio Jiménez & Eddy Merckx,Faema
7,Guerrino Tosello,Michele Dancelli,Eddy Merckx,Mariano Díaz,Faema
8,Eddy Merckx,Michele Dancelli,Eddy Merckx,Mariano Díaz,Faema
9,Julio Jiménez,Michele Dancelli,Eddy Merckx,Julio Jiménez,Faema
10,Emilio Casalini,Michele Dancelli,Eddy Merckx,Julio Jiménez,Faema
11,Guido Reybrouck,Michele Dancelli,Eddy Merckx,Julio Jiménez,Faema
12,Eddy Merckx,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
13,Lino Farisato,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
14,Luigi Sgarbozza,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
15,Marino Basso,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
16,Felice Gimondi,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
17,Franco Bitossi,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
18,Julio Jiménez,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
19,Luciano Dalla Bona,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
20,Luis Pedro Santamarina,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
21,Franco Bitossi[N 3],Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
22,Guido Reybrouck,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
Final,Final,Eddy Merckx,Eddy Merckx,Eddy Merckx,Faema
