Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
P,Dietrich Thurau,not awarded,not awarded,not awarded,not awarded,not awarded
1,Rik Van Linden,Rik Van Linden,Rik Van Linden,?,?,?
2,Giuseppe Saronni,Rik Van Linden,Rik Van Linden,?,?,?
3,Johan De Muynck,Johan De Muynck,Rik Van Linden,?,?,?
4,Dietrich Thurau,Johan De Muynck,Giuseppe Saronni,?,?,?
5,Rik Van Linden,Johan De Muynck,Francesco Moser,?,?,?
6,Rik Van Linden,Johan De Muynck,Rik Van Linden,?,?,?
7,Giuseppe Saronni,Johan De Muynck,Roger De Vlaeminck,?,?,?
8,Giuseppe Saronni,Johan De Muynck,Giuseppe Saronni,?,?,?
9,Enrico Paolini,Johan De Muynck,Roger De Vlaeminck,?,?,?
10,Giuseppe Martinelli,Johan De Muynck,Giuseppe Saronni,?,?,?
11a,Bruno Zanoni,Johan De Muynck,Giuseppe Saronni,?,?,?
11b,Francesco Moser,Johan De Muynck,Roger De Vlaeminck,?,?,?
12,Giancarlo Bellini,Johan De Muynck,Francesco Moser,?,?,?
13,Francesco Moser,Johan De Muynck,Francesco Moser,?,?,?
14,Francesco Moser,Johan De Muynck,Francesco Moser,?,?,?
15,Gianbattista Baronchelli,Johan De Muynck,Francesco Moser,?,?,?
16,Francesco Moser,Johan De Muynck,Francesco Moser,?,?,?
17,Wladimiro Panizza,Johan De Muynck,Francesco Moser,Ueli Sutter,?,?
18,Giuseppe Perletto,Johan De Muynck,Francesco Moser,Ueli Sutter,?,?
19,Vittorio Algeri,Johan De Muynck,Francesco Moser,Ueli Sutter,?,?
20,Pierino Gavazzi,Johan De Muynck,Francesco Moser,Ueli Sutter,Roberto Visentini,Bianchi
Final,Final,Johan De Muynck,Francesco Moser,Ueli Sutter,Roberto Visentini,Bianchi
