Stage,Winner,General classification,Mountains classification,Last in General classification,Team classification
1,Giordano Cottur,Giordano Cottur,not awarded,?,?
2,Mario Ricci,Giordano Cottur,not awarded,Antonio Covolo,?
3,Luciano Maggini,Giordano Cottur,Ezio Cecchi,Enzo Bellini,Wilier-Triestina
4,Luigi Casola,Giordano Cottur,Ezio Cecchi,Antonio Covolo,Wilier-Triestina
5,Adolfo Leoni,Giordano Cottur,Ezio Cecchi,Antonio Covolo,Wilier-Triestina
6,Luigi Casola,Giordano Cottur,Ezio Cecchi,Antonio Covolo,Wilier-Triestina
7,Antonio Bevilacqua,Giordano Cottur,Fausto Coppi,?,Wilier-Triestina
8,Adolfo Leoni,Giordano Cottur,Fausto Coppi,?,Wilier-Triestina
9,Nedo Logli,Vito Ortelli,Ezio Cecchi,Aldo Bini,Wilier-Triestina
10,Italo De Zan,Vito Ortelli,Ezio Cecchi,Aldo Bini,Arbos
11,Désiré Keteleer,Vito Ortelli,Ezio Cecchi,Valeriano Zanazzi,Arbos
12,Oreste Conte,Vito Ortelli,Ezio Cecchi,Valeriano Zanazzi,Arbos
13,Bruno Pasquini,Vito Ortelli,Ezio Cecchi & Fausto Coppi,Prosper Depredomme,Arbos
14,Oreste Conte,Fiorenzo Magni,Ezio Cecchi & Fausto Coppi,?,Arbos
15,Vincenzo Rossello,Ezio Cecchi,Ezio Cecchi,?,
16,Fausto Coppi,Ezio Cecchi,Fausto Coppi,?,
17,Fausto Coppi,Fiorenzo Magni,Fausto Coppi,Aldo Bini,Wilier-Triestina
18,Elio Bertocchi,Fiorenzo Magni,Fausto Coppi,Aldo Bini,Wilier-Triestina
19,Fiorenzo Magni,Fiorenzo Magni,Fausto Coppi,Aldo Bini,Wilier-Triestina
Final,Final,Fiorenzo Magni,Fausto Coppi,Aldo Bini,Wilier Triestina
