Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Trofeo Fast Team,Trofeo Super Team
1,Lukas Pöstlberger,Lukas Pöstlberger,Lukas Pöstlberger[N 1],Cesare Benedetti,Lukas Pöstlberger[N 1],Bora–Hansgrohe,Bora–Hansgrohe
2,André Greipel,André Greipel,André Greipel[N 2],Daniel Teklehaimanot,Lukas Pöstlberger[N 1],Orica–Scott,Lotto–Soudal
3,Fernando Gaviria,Fernando Gaviria,André Greipel[N 2],Daniel Teklehaimanot,Fernando Gaviria[N 3],Quick-Step Floors,Team Dimension Data
4,Jan Polanc,Bob Jungels,André Greipel[N 2],Jan Polanc,Bob Jungels[N 4],Cannondale–Drapac,UAE Team Emirates
5,Fernando Gaviria,Bob Jungels,Fernando Gaviria,Jan Polanc,Bob Jungels[N 4],Cannondale–Drapac,Quick-Step Floors
6,Silvan Dillier,Bob Jungels,Fernando Gaviria,Jan Polanc,Bob Jungels[N 4],Cannondale–Drapac,Quick-Step Floors
7,Caleb Ewan,Bob Jungels,Fernando Gaviria,Jan Polanc,Bob Jungels[N 4],UAE Team Emirates,Quick-Step Floors
8,Gorka Izagirre,Bob Jungels,Fernando Gaviria,Jan Polanc,Bob Jungels[N 4],UAE Team Emirates,Quick-Step Floors
9,Nairo Quintana,Nairo Quintana,Fernando Gaviria,Jan Polanc,Davide Formolo,Movistar Team,Quick-Step Floors
10,Tom Dumoulin,Tom Dumoulin,Fernando Gaviria,Jan Polanc,Bob Jungels,Movistar Team,Quick-Step Floors
11,Omar Fraile,Tom Dumoulin,Fernando Gaviria,Jan Polanc,Bob Jungels,Movistar Team,Quick-Step Floors
12,Fernando Gaviria,Tom Dumoulin,Fernando Gaviria,Omar Fraile,Bob Jungels,Movistar Team,Quick-Step Floors
13,Fernando Gaviria,Tom Dumoulin,Fernando Gaviria,Omar Fraile,Bob Jungels,Movistar Team,Quick-Step Floors
14,Tom Dumoulin,Tom Dumoulin,Fernando Gaviria,Tom Dumoulin[N 5],Bob Jungels,Movistar Team,Quick-Step Floors
15,Bob Jungels,Tom Dumoulin,Fernando Gaviria,Tom Dumoulin[N 5],Bob Jungels,Movistar Team,Quick-Step Floors
16,Vincenzo Nibali,Tom Dumoulin,Fernando Gaviria,Mikel Landa,Bob Jungels,Movistar Team,Quick-Step Floors
17,Pierre Rolland,Tom Dumoulin,Fernando Gaviria,Mikel Landa,Bob Jungels,Movistar Team,Quick-Step Floors
18,Tejay van Garderen,Tom Dumoulin,Fernando Gaviria,Mikel Landa,Adam Yates,Movistar Team,Quick-Step Floors
19,Mikel Landa,Nairo Quintana,Fernando Gaviria,Mikel Landa,Adam Yates,Movistar Team,Quick-Step Floors
20,Thibaut Pinot,Nairo Quintana,Fernando Gaviria,Mikel Landa,Adam Yates,Movistar Team,Quick-Step Floors
21,Jos van Emden,Tom Dumoulin,Fernando Gaviria,Mikel Landa,Bob Jungels,Movistar Team,Quick-Step Floors
Final,Final,Tom Dumoulin,Fernando Gaviria,Mikel Landa,Bob Jungels,Movistar Team,Quick-Step Floors
