Stage,Winner,General classification,Mountains classification,Team classification
1,Dino Bruni,Dino Bruni,not awarded,Ignis
2,Romeo Venturelli,Romeo Venturelli,not awarded,Ignis
3,Miguel Poblet,Jacques Anquetil,not awarded,Ignis
4,Salvador Botella,Jacques Anquetil,not awarded,Ignis
5,Gastone Nencini,Jacques Anquetil,Charly Gaul,Ignis
6,Pierino Baffi,Jos Hoevenaers,Charly Gaul,Ignis
7a,Miguel Poblet,Jos Hoevenaers,Charly Gaul,Ignis
7b,Rik Van Looy,Jos Hoevenaers,Gastone Nencini,Ignis
8,Rik Van Looy,Jos Hoevenaers,Gastone Nencini,Ignis
9a,Emile Daems,Jos Hoevenaers,Gastone Nencini,Ignis
9b,Jacques Anquetil & Miguel Poblet,Jos Hoevenaers,Gastone Nencini & Charly Gaul,Ignis
10,Gastone Nencini,Jos Hoevenaers,Michele Gismondi,Ignis
11,Rik Van Looy,Jos Hoevenaers,Michele Gismondi,Ignis
12,Addo Kazianka,Jos Hoevenaers,Michele Gismondi,Ignis
13,Jean Stablinski,Jos Hoevenaers,Michele Gismondi,Ignis
14,Jacques Anquetil,Jacques Anquetil,Michele Gismondi,Ignis
15,André Darrigade,Jacques Anquetil,Michele Gismondi,Ignis
16,Roberto Falaschi,Jacques Anquetil,Michele Gismondi,Ignis
17,Dino Bruni,Jacques Anquetil,Michele Gismondi,Ignis
18,Seamus Elliott,Jacques Anquetil,Michele Gismondi,Ignis
19,Emile Daems,Jacques Anquetil,Michele Gismondi,Ignis
20,Charly Gaul,Jacques Anquetil,Rik Van Looy,Ignis
21,Arigo Padovan,Jacques Anquetil,Rik Van Looy,Ignis
Final,Final,Jacques Anquetil,Rik Van Looy,Ignis
