Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Trofeo Fast Team,Trofeo Super Team
1,Mark Cavendish,Mark Cavendish,Mark Cavendish,Giovanni Visconti,Elia Viviani,Orica–GreenEDGE,Orica–GreenEDGE
2,Team Sky,Salvatore Puccio,Mark Cavendish,Giovanni Visconti,Salvatore Puccio,Team Sky,Orica–GreenEDGE
3,Luca Paolini,Luca Paolini,Luca Paolini,Willem Wauters,Fabio Aru,Team Katusha,Team Katusha
4,Enrico Battaglin,Luca Paolini,Luca Paolini,Giovanni Visconti,Fabio Aru,Team Katusha,Team Katusha
5,John Degenkolb,Luca Paolini,Luca Paolini,Giovanni Visconti,Fabio Aru,Team Katusha,Team Katusha
6,Mark Cavendish,Luca Paolini,Mark Cavendish,Giovanni Visconti,Fabio Aru,Team Katusha,Team Katusha
7,Adam Hansen,Beñat Intxausti,Mark Cavendish,Giovanni Visconti,Rafał Majka,Team Katusha,Team Katusha
8,Alex Dowsett,Vincenzo Nibali,Mark Cavendish,Giovanni Visconti,Wilco Kelderman,Astana,Orica–GreenEDGE
9,Maxim Belkov,Vincenzo Nibali,Cadel Evans,Stefano Pirazzi,Wilco Kelderman,Blanco Pro Cycling,BMC Racing Team
10,Rigoberto Urán,Vincenzo Nibali,Cadel Evans,Stefano Pirazzi,Rafał Majka,Team Sky,Team Sky
11,Ramūnas Navardauskas,Vincenzo Nibali,Cadel Evans,Stefano Pirazzi,Rafał Majka,Team Sky,Team Sky
12,Mark Cavendish,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Rafał Majka,Team Sky,Team Sky
13,Mark Cavendish,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Rafał Majka,Team Sky,Team Sky
14,Mauro Santambrogio Vincenzo Nibali,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Rafał Majka,Team Sky,Team Sky
15,Giovanni Visconti,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Carlos Betancur,Team Sky,Team Sky
16,Beñat Intxausti,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Carlos Betancur,Team Sky,Movistar Team
17,Giovanni Visconti,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Carlos Betancur,Team Sky,Movistar Team
18,Vincenzo Nibali,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Rafał Majka,Team Sky,Team Sky
19,Stage cancelled,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Rafał Majka,Team Sky,Team Sky
20,Vincenzo Nibali,Vincenzo Nibali,Vincenzo Nibali,Stefano Pirazzi,Carlos Betancur,Team Sky,Team Sky
21,Mark Cavendish,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Carlos Betancur,Team Sky,Movistar Team
Final,Final,Vincenzo Nibali,Mark Cavendish,Stefano Pirazzi,Carlos Betancur,Team Sky,Movistar Team
