Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Trofeo Fast Team,Trofeo Super Team
1,Tom Dumoulin,Tom Dumoulin,Tom Dumoulin,not awarded,Tobias Ludvigsson,Team Giant–Alpecin,Team Giant–Alpecin
2,Marcel Kittel,Tom Dumoulin,Marcel Kittel,Omar Fraile,Tobias Ludvigsson,Team Giant–Alpecin,Team Giant–Alpecin
3,Marcel Kittel,Marcel Kittel,Marcel Kittel,Maarten Tjallingii,Tobias Ludvigsson,Team Giant–Alpecin,Etixx–Quick-Step
4,Diego Ulissi,Tom Dumoulin,Marcel Kittel,Damiano Cunego,Bob Jungels,Astana,Etixx–Quick-Step
5,André Greipel,Tom Dumoulin,Marcel Kittel,Damiano Cunego,Bob Jungels,Astana,Etixx–Quick-Step
6,Tim Wellens,Tom Dumoulin,Marcel Kittel,Damiano Cunego,Bob Jungels,Astana,Etixx–Quick-Step
7,André Greipel,Tom Dumoulin,André Greipel,Tim Wellens,Bob Jungels,Astana,Lotto–Soudal
8,Gianluca Brambilla,Gianluca Brambilla,André Greipel,Tim Wellens,Bob Jungels,Etixx–Quick-Step,Etixx–Quick-Step
9,Primož Roglič,Gianluca Brambilla,André Greipel,Tim Wellens,Bob Jungels,Etixx–Quick-Step,Etixx–Quick-Step
10,Giulio Ciccone,Bob Jungels,André Greipel,Damiano Cunego,Bob Jungels,Movistar Team,Etixx–Quick-Step
11,Diego Ulissi,Bob Jungels,André Greipel,Damiano Cunego,Bob Jungels,Movistar Team,Etixx–Quick-Step
12,André Greipel,Bob Jungels,André Greipel,Damiano Cunego,Bob Jungels,Movistar Team,Etixx–Quick-Step
13,Mikel Nieve,Andrey Amador,Giacomo Nizzolo,Damiano Cunego,Bob Jungels,Movistar Team,Etixx–Quick-Step
14,Esteban Chaves,Steven Kruijswijk,Giacomo Nizzolo,Damiano Cunego,Bob Jungels,Astana,Etixx–Quick-Step
15,Alexander Foliforov,Steven Kruijswijk,Giacomo Nizzolo,Damiano Cunego,Bob Jungels,Astana,LottoNL–Jumbo
16,Alejandro Valverde,Steven Kruijswijk,Giacomo Nizzolo,Damiano Cunego,Bob Jungels,Astana,LottoNL–Jumbo
17,Roger Kluge,Steven Kruijswijk,Giacomo Nizzolo,Damiano Cunego,Bob Jungels,Astana,LottoNL–Jumbo
18,Matteo Trentin,Steven Kruijswijk,Giacomo Nizzolo,Damiano Cunego,Bob Jungels,Astana,Etixx–Quick-Step
19,Vincenzo Nibali,Esteban Chaves,Giacomo Nizzolo,Damiano Cunego,Bob Jungels,Astana,Etixx–Quick-Step
20,Rein Taaramäe,Vincenzo Nibali,Giacomo Nizzolo,Mikel Nieve,Bob Jungels,Astana,Etixx–Quick-Step
21,Nikias Arndt,Vincenzo Nibali,Giacomo Nizzolo,Mikel Nieve,Bob Jungels,Astana,Etixx–Quick-Step
Final,Final,Vincenzo Nibali,Giacomo Nizzolo,Mikel Nieve,Bob Jungels,Astana,Etixx–Quick-Step
